legacy_id,language,trid,source_language
1087,en,1087,
2246,en,1832,
2307,de,1832,en
2380,en,1972,
2382,de,1972,en
2390,en,1973,
2392,de,1973,en
2593,en,2114,
2810,de,2270,en
2831,en,2270,
3015,el,2270,de
3049,ru,2270,de
3783,de,2507,en
3785,en,2507,
3804,en,2512,
4271,en,3044,
4349,en,3079,
4566,de,3079,en
4666,en,3110,
4674,en,3111,
4683,en,3115,
4726,de,3118,
4735,de,3115,en
4764,en,3121,
19601,de,16651,
5034,en,3189,
5037,en,3190,
5039,en,3191,
5042,en,3192,
5044,en,3193,
5046,en,3194,
5048,en,3195,
5053,en,3196,
5089,en,3201,
19599,de,16650,
19597,de,16649,
19595,de,16648,
19593,de,16647,
19589,de,16645,
19591,de,16646,
19587,de,16644,
19585,de,16643,
19583,de,16642,
19581,de,16641,
19579,de,16640,
19575,de,16638,
19577,de,16639,
19573,de,16637,
19571,de,16636,
19567,de,16634,
19569,de,16635,
19563,de,16632,
19565,de,16633,
18463,en,16499,
18807,en,16540,
18836,en,16547,
19506,de,16623,
19561,de,16631,
18951,en,16563,
19003,en,16572,
19052,en,16579,
19559,de,16630,
19557,de,16629,
19554,de,16628,
19552,de,16627,
19221,en,16592,
21824,en,16916,
22705,en,17017,
23530,en,17085,
24587,en,17213,
25248,en,17276,
25474,en,17280,
25477,de,17280,en
25554,en,17290,
25698,de,17302,
25753,ru,17310,
25777,de,17313,
38286,en,18439,
31413,en,17591,
31478,de,17591,en
31700,en,17610,
32204,en,17640,
32211,de,17640,en
32253,it,17640,en
32294,en,17645,
32349,de,17650,
32356,en,17651,
32438,en,17717,
32469,de,17717,en
32710,de,17920,
32734,en,17920,de
32726,ru,17922,
32765,en,17924,
32783,en,17926,
32872,en,17936,
33639,de,17936,en
49444,ru,19882,
33926,de,17989,en
33017,en,17949,
33029,en,17952,
33289,de,17976,
33488,en,17989,
33547,de,17994,
33551,de,17995,
33565,de,17997,
33578,de,18000,
33592,de,18001,
33607,de,18003,
33636,de,18006,
33645,de,18007,
33659,de,18009,
33673,de,18011,
33790,de,18024,
33839,en,18028,
33906,de,18028,en
33985,en,18041,
34087,en,18050,
34132,de,18050,en
34125,de,18054,
34165,de,18057,
34185,en,18057,de
34159,en,18056,
34660,de,18129,
37371,en,18337,
37316,en,18332,
37329,en,18334,
37346,de,18334,en
37397,de,18339,
37437,de,18343,
37465,ru,18345,
37470,ru,18346,
37529,ru,18352,
37533,ru,18353,
37552,ru,18356,
37567,ru,18358,
37581,ru,18360,
37598,ru,18362,
37623,en,18365,
37630,ru,18365,en
37638,de,18365,en
37667,en,18369,
37848,en,18394,
38046,en,18418,
37718,de,18374,en
49410,ru,19878,
37731,en,18378,
37789,en,18384,
37795,de,18384,en
37802,ru,18384,en
37824,ru,18386,de
37808,en,18388,
37821,de,18388,en
37862,en,18398,
38958,en,18490,
38435,en,18452,
38448,de,18452,en
38721,en,18470,
38752,en,18473,
38766,de,18473,en
40114,en,18594,
40076,en,18590,
51274,de,20155,
40604,en,18631,
40640,de,18633,
49256,ru,19852,
49214,ru,19845,
41089,en,18673,
41158,en,18678,
49207,ru,19843,
55358,en,20704,
49258,ru,19853,
41507,en,18709,
49260,ru,19854,
41544,en,18713,
49262,ru,19855,
41679,de,18730,
49264,ru,19856,
41722,en,18737,
41789,en,18744,
41895,en,18757,
49274,ru,19857,
49288,ru,19859,
49294,ru,19860,
49307,ru,19862,
41949,en,18769,
41984,de,18773,
41998,de,18775,
42015,de,18777,
42030,de,18779,
41975,de,18769,en
49209,ru,19844,
42046,de,18783,
49309,ru,19863,
42130,en,18793,
42157,en,18796,
42222,en,18804,
42268,de,18811,
42272,en,18812,
42299,de,18812,en
