person_key,photo_focus
куи-цзянгон,"42,32,0.3"
fouad-al-ghaffari,"53.1,31.7,0.314"
dieter-ameling,"48.1,29.0,0.237"
dean-andromidas,"56.7,30.9,0.263"
hussein-askary,"54.5,43.2,0.373"
ali-reza-sheikh-attar,"43.7,44.1,0.555"
marcia-merry-baker,"74,41,0.08"
robert-barwick,"53.7,29.9,0.267"
megan-beets,"60.7,33.9,0.11"
kirill-benediktov,"55.8,45.7,0.394"
james-benham,"57.1,44.2,0.39"
michael-billington,"45.8,44.0,0.386"
richard-black,"50.2,56.9,0.807"
andrea-boland,"82.9,63.5,0.203"
frank-cevasco,"49.9,48.2,0.386"
leonidas-chrysantopoulos,"46.4,38.9,0.314"
ramsey-clark,"85.4,70.6,0.216"
urban-cleve,"53.8,46.1,0.364"
alain-corvez,"51.0,34.6,0.257"
cui-hongjian,"42,32,0.3"
daisuke-kotegawa,"49.9,57.2,0.242"
michail-deljagin,"52.7,49.5,0.386"
mikhail-delyagin,"52.7,49.5,0.386"
ben-densiton,"38.9,44.9,0.453"
rachel-douglas,"49.2,47.6,0.411"
daniel-estulin,"52.9,43.9,0.407"
bruce-fein,"43.2,41.6,0.453"
malcolm-fraser,"59.0,32.1,0.305"
andrey-fursov,"59.4,48.6,0.377"
andrej-fursow,"59.4,48.6,0.377"
neil-gallagher,"72.3,42.8,0.233"
paul-gallagher,"52.0,44.2,0.411"
antonino-galloni,"52.1,34.6,0.246"
eduardo-greaves,"46.1,48.4,0.462"
wilhelm-hankel,"53.8,43.2,0.364"
robert-hux,"47.1,32.2,0.322"
raghda-ibrahim,"70,26,0.2"
thomas-jackson,"54.2,45.5,0.47"
walter-jones,"43.3,26.9,0.288"
leonid-kadyshev,"46.2,33.7,0.246"
panos-kammenos,"49.2,30.2,0.258"
toni-kastner,"47.3,27.8,0.275"
theodore-katsanevas,"45.5,49.0,0.407"
michael-kirsch,"44.5,43.8,0.449"
stelios-kouloglou,"47.9,36.2,0.262"
lyndon-h-larouche-jr,"53.8,45.1,0.449"
wolfgang-lillge,"48.6,23.2,0.246"
ren-lin,"46.8,39.0,0.204"
wayne-madsen,"46.5,28.1,0.208"
ramtanu-maitra,"51.8,40.6,0.386"
norton-mezvinsky,"49.9,46.2,0.453"
mulugeta-zewdie-michael,"49.5,42.7,0.356"
mohqmed-metwally-博士,"51.5,29.9,0.259"
chandra-muzaffar,"58.7,27.3,0.318"
alexander-nagorny,"46.4,47.5,0.432"
charles-paperon,"56.8,56.7,0.708"
denys-pluvinage,"39.2,25.3,0.226"
lorella-presotto,"49.3,44.4,0.356"
nomi-prins,"51.0,34.3,0.263"
fatemeh-haschemi-rafsandschani,"60.2,35.4,0.246"
fatemeh-hashemi-rafsanjani,"60.2,35.4,0.246"
jason-ross,"49.6,47.0,0.394"
henri-safa,"54.5,45.9,0.39"
didier-schmitt,"43.7,46.7,0.411"
ulrich-scholz,"49.2,37.0,0.311"
tatiana-seliverstova,"44.8,26.1,0.195"
jayshree-sengupta,"56.2,43.9,0.407"
bouthaina-shaaban,"51.0,39.8,0.364"
mark-shelley-md,"48.2,44.9,0.445"
shi-ze,"51.4,24.8,0.237"
bao-shixiu,"47.9,29.7,0.22"
hamid-sidig,"36.8,34.4,0.311"
enzo-siviero,"55.2,37.7,0.314"
dennis-small,"48.6,42.0,0.373"
jeff-steinberg,"44.3,41.2,0.483"
sean-stone,"50.5,39.3,0.356"
terry-strada,"56.0,41.3,0.288"
bassam-tahhan,"45.2,43.4,0.39"
ghoncheh-tazmini,"47.1,43.8,0.39"
michail-titarenko,"57.1,50.8,0.525"
george-tsobanoglou,"52.1,42.6,0.398"
karel-vereycken,"50.5,40.4,0.28"
h-h-s-viswanathan,"46.3,34.4,0.301"
natalia-vitrenko,"36.4,45.9,0.39"
wangsuo-wu,"55.2,38.8,0.297"
lynn-yen,"52.5,43.2,0.394"
marco-zanni,"40.4,31.9,0.211"
helga-zepp-larouche,"50.7,44.5,0.373"
проф-д-р-у-вансо,"55.2,38.8,0.297"
антонио-галлони,"52.1,34.6,0.246"
тони-кестнер,"47.3,27.8,0.275"
андреи-фурсов,"59.4,48.6,0.377"
д-р-фатимa-хашеми,"60.2,35.4,0.246"
георгии-цобаноглу,"52.1,42.6,0.398"
