#,Level,Category Name,Slug,Language,Parent Category,Full Path,Total Posts,Published,Drafts,Private,Posts Last 24 Months,First Post Date,Last Post Date,Slug Match Method
1,1,“Green” Means No Humanity,green-fr,French,,“Green” Means No Humanity,2,0,2,0,0,2012-12-11,2015-11-03,exact
2,1,180,180,English (default),,180,3,3,0,0,0,2021-05-01,2022-07-10,exact
3,1,316,316,English (default),,316,1,1,0,0,0,2022-12-14,2022-12-14,exact
4,1,33,33,English (default),,33,1,1,0,0,0,2021-07-11,2021-07-11,exact
5,1,37,37,English (default),,37,251,250,1,0,10,2021-03-08,2024-11-27,exact
6,1,40,,unknown,,40,0,0,0,0,0,,,no-posts-in-export
7,1,436,436,English (default),,436,13,13,0,0,5,2021-07-11,2024-09-25,exact
8,1,438,438,English (default),,438,47,47,0,0,3,2021-04-12,2024-11-27,exact
9,1,448,448,English (default),,448,12,12,0,0,0,2021-03-18,2022-03-09,exact
10,1,465,465,English (default),,465,15,15,0,0,5,2023-08-08,2024-09-25,exact
11,1,471,471,English (default),,471,17,17,0,0,2,2021-04-28,2024-11-27,exact
12,1,480,480,English (default),,480,1,1,0,0,0,2022-05-05,2022-05-05,exact
13,1,481,481,English (default),,481,2,2,0,0,0,2021-07-11,2024-01-15,exact
14,1,483,483,English (default),,483,16,16,0,0,5,2021-07-11,2024-09-25,exact
15,1,508,508,English (default),,508,1,1,0,0,0,2021-07-11,2021-07-11,exact
16,1,520,520,English (default),,520,1,1,0,0,0,2021-07-11,2021-07-11,exact
17,1,524,524,English (default),,524,206,206,0,0,0,2021-03-08,2024-03-27,exact
18,1,526,526,English (default),,526,47,47,0,0,0,2021-03-23,2024-05-11,exact
19,1,527,527,English (default),,527,1,1,0,0,0,2021-04-27,2021-04-27,exact
20,1,528,528,English (default),,528,12,12,0,0,0,2021-03-23,2024-05-29,exact
21,1,529,529,English (default),,529,1,1,0,0,0,2021-04-27,2021-04-27,exact
22,1,530,530,English (default),,530,107,107,0,0,0,2021-03-08,2024-03-27,exact
23,1,531,531,English (default),,531,13,13,0,0,0,2021-03-18,2022-05-29,exact
24,1,537,537,English (default),,537,12,12,0,0,2,2021-05-29,2024-11-27,exact
25,1,539,539,English (default),,539,16,16,0,0,0,2021-04-17,2022-12-09,exact
26,1,540,540,English (default),,540,16,16,0,0,0,2021-03-23,2022-12-09,exact
27,1,541,,unknown,,541,0,0,0,0,0,,,no-posts-in-export
28,1,542,542,English (default),,542,9,9,0,0,1,2021-04-15,2024-07-25,exact
29,1,544,544,English (default),,544,19,19,0,0,0,2021-03-13,2022-08-30,exact
30,1,550,550,English (default),,550,6,6,0,0,0,2021-03-08,2022-05-29,exact
31,1,551,551,English (default),,551,134,134,0,0,0,2021-03-08,2023-08-22,exact
32,1,563,563,English (default),,563,25,25,0,0,0,2021-04-12,2024-05-11,exact
33,1,564,564,English (default),,564,1,1,0,0,0,2021-10-20,2021-10-20,exact
34,1,565,565,English (default),,565,1,1,0,0,0,2021-07-06,2021-07-06,exact
35,1,628,628,English (default),,628,15,15,0,0,0,2021-03-13,2022-01-20,exact
36,1,633,633,English (default),,633,1,1,0,0,0,2021-07-11,2021-07-11,exact
37,1,635,635,English (default),,635,26,26,0,0,0,2021-03-08,2022-08-03,exact
38,1,636,636,English (default),,636,20,20,0,0,0,2021-03-08,2022-08-04,exact
39,1,637,637,English (default),,637,36,36,0,0,0,2021-03-13,2022-11-30,exact
40,1,639,639,English (default),,639,1,1,0,0,0,2021-07-11,2021-07-11,exact
41,1,645,645,English (default),,645,1,1,0,0,0,2021-04-27,2021-04-27,exact
42,1,648,648,English (default),,648,5,5,0,0,0,2021-04-12,2022-09-23,exact
43,1,65,65,English (default),,65,1,0,1,0,0,2021-02-18,2021-02-18,exact
44,1,658,658,English (default),,658,47,47,0,0,0,2021-03-13,2022-12-09,exact
45,1,659,659,English (default),,659,105,105,0,0,0,2021-03-13,2024-05-29,exact
46,1,94,94,English (default),,94,11,11,0,0,0,2021-04-27,2024-03-02,exact
47,1,95,95,English (default),,95,21,21,0,0,0,2021-03-08,2022-08-08,exact
48,1,96,96,English (default),,96,79,79,0,0,0,2021-03-08,2024-03-27,exact
49,1,A New Renaissance,a-new-renaissance-ru,Russian,,A New Renaissance,2,2,0,0,0,2017-01-01,2017-01-03,exact
50,1,Activity of the Schiller Institute,activity,English (default),,Activity of the Schiller Institute,137,137,0,0,3,2014-03-24,2025-03-24,heuristic
51,2,Media coverage of our activity,activity-coverage,English (default),Activity of the Schiller Institute,Activity of the Schiller Institute > Media coverage of our activity,67,67,0,0,2,2016-03-18,2026-01-17,heuristic
52,2,Our conferences,activity-conference,English (default),Activity of the Schiller Institute,Activity of the Schiller Institute > Our conferences,75,74,0,1,1,2013-02-08,2024-12-06,heuristic
53,2,Our cultural events,activity-cultural,English (default),Activity of the Schiller Institute,Activity of the Schiller Institute > Our cultural events,26,26,0,0,1,2015-03-12,2024-12-16,exact
54,2,Our economic development events,activity-economic,English (default),Activity of the Schiller Institute,Activity of the Schiller Institute > Our economic development events,25,25,0,0,0,2016-03-18,2024-05-14,exact
55,2,"Our initiatives (petitions, etc)",activity-initiatives,English (default),Activity of the Schiller Institute,"Activity of the Schiller Institute > Our initiatives (petitions, etc)",69,69,0,0,1,2018-09-23,2024-08-05,heuristic
56,2,Our musical events,activity-musical,English (default),Activity of the Schiller Institute,Activity of the Schiller Institute > Our musical events,30,30,0,0,1,2013-10-22,2024-12-16,exact
57,2,Youth Movement,youth-movement,English (default),Activity of the Schiller Institute,Activity of the Schiller Institute > Youth Movement,4,4,0,0,1,2021-02-13,2025-11-11,heuristic
58,1,Activity of the Schiller Institute,activity-de,German,,Activity of the Schiller Institute,88,88,0,0,2,2019-02-19,2025-06-17,heuristic
59,2,internationale Friedenskoalition,internationale-friedenskoalition,English (default),Activity of the Schiller Institute,Activity of the Schiller Institute > internationale Friedenskoalition,110,110,0,0,93,2023-07-23,2026-06-22,exact
60,1,Afghanistan,afghanistan,English (default),,Afghanistan,65,65,0,0,0,2021-07-21,2024-03-01,heuristic
61,1,Allgemein,allgemein-fr,French,,Allgemein,1,0,1,0,0,2014-12-29,2014-12-29,heuristic
62,1,Allgemein,allgemein-ru,Russian,,Allgemein,38,35,3,0,0,2013-04-30,2019-02-16,heuristic
63,1,Allgemein,allgemein-el,Greek,,Allgemein,1,1,0,0,0,2013-04-27,2013-04-27,heuristic
64,1,Allgemein,allgemein-it,Italian,,Allgemein,1,1,0,0,0,2015-08-31,2015-08-31,exact
65,1,Allgemein,,unknown,,Allgemein,0,0,0,0,0,,,no-posts-in-export
66,1,Allgemein,,unknown,,Allgemein,0,0,0,0,0,,,no-posts-in-export
67,1,Allgemein,,unknown,,Allgemein,0,0,0,0,0,,,no-posts-in-export
68,1,Allgemein @zh-hans,allgemein-zh-hans,Chinese,,Allgemein @zh-hans,4,4,0,0,2,2020-05-27,2025-06-14,exact
69,1,BRI,bri-de,German,,BRI,120,118,2,0,1,2014-04-02,2024-12-19,exact
70,1,BRICS,brics-de-2,German,,BRICS,37,36,1,0,0,2016-03-18,2023-08-22,heuristic
71,1,BRICS,brics-de,German,,BRICS,90,88,2,0,0,2014-05-13,2023-08-22,heuristic
72,1,BRICS,brics-de-ru,Russian,,BRICS,1,1,0,0,0,2017-01-03,2017-01-03,heuristic
73,1,CCD Hitlist,ccd-hitlist,English (default),,CCD Hitlist,17,17,0,0,0,2022-07-28,2022-09-02,exact
74,1,China,china,English (default),,China,114,113,1,0,1,2021-02-24,2024-12-13,heuristic
75,1,China SI activity,location-china,English (default),,China SI activity,13,12,0,1,2,2017-02-12,2025-04-29,heuristic
76,1,Color Revolutions,color-revolutions,English (default),,Color Revolutions,40,40,0,0,0,2021-02-16,2023-03-06,heuristic
77,1,Counterintelligence,counterintelligence,English (default),,Counterintelligence,16,16,0,0,0,2021-03-07,2022-09-22,heuristic
78,1,Counterintelligence,counterintelligence-de,German,,Counterintelligence,17,17,0,0,0,2021-03-07,2023-02-09,heuristic
79,1,Coverage,coverage-de,German,,Coverage,79,78,1,0,1,2017-09-23,2024-10-23,heuristic
80,1,Coverage,coverage-de-2,German,,Coverage,50,49,1,0,1,2018-07-15,2024-10-23,heuristic
81,1,Culture,culture,English (default),,Culture,3,3,0,0,0,2023-11-15,2024-05-12,exact
82,1,Daily Beethoven — Sparks of Joy,daily-beethoven-sparks-of-joy,English (default),,Daily Beethoven — Sparks of Joy,82,81,0,1,0,2020-11-02,2021-05-23,heuristic
83,1,Daily Beethoven — Sparks of Joy,daily-beethoven-sparks-of-joy-de,German,,Daily Beethoven — Sparks of Joy,1,1,0,0,0,2021-02-26,2021-02-26,heuristic
84,1,Denmark,denmark,English (default),,Denmark,4,4,0,0,0,2021-04-30,2024-05-14,exact
85,1,Economic development studies,studies-economic,English (default),,Economic development studies,12,12,0,0,0,2018-07-19,2022-04-06,heuristic
86,1,Economic development updates,updates-development,English (default),,Economic development updates,331,330,1,0,0,2014-09-24,2024-01-10,heuristic
87,1,Food/agriculture,food-agriculture,English (default),,Food/agriculture,6,6,0,0,0,2021-12-15,2022-08-10,exact
88,1,Freedom of Press & Speech,freedom-of-press-speech,English (default),,Freedom of Press & Speech,3,3,0,0,0,2022-12-08,2024-01-10,exact
89,1,General,allgemein,English (default),,General,1565,1495,64,6,201,2014-09-18,2026-06-19,exact
90,1,General updates,updates,English (default),,General updates,669,664,3,2,3,2018-02-10,2024-09-29,heuristic
91,2,Cultural renaissance updates,updates-culture,English (default),General updates,General updates > Cultural renaissance updates,72,71,1,0,0,2013-03-12,2024-03-01,exact
92,3,Music updates,updates-music,English (default),Cultural renaissance updates,General updates > Cultural renaissance updates > Music updates,77,76,0,1,0,2013-10-22,2023-07-19,heuristic
93,2,Economic development updates,updates-development-de,German,General updates,General updates > Economic development updates,74,74,0,0,0,2020-03-15,2023-08-14,exact
94,3,Agriculture,agriculture,English (default),Economic development updates,General updates > Economic development updates > Agriculture,67,67,0,0,0,2021-03-11,2024-01-10,exact
95,3,BRI – Belt & Road,bri-belt-road,English (default),Economic development updates,General updates > Economic development updates > BRI – Belt & Road,13,13,0,0,0,2021-11-26,2023-03-05,exact
96,3,BRICS updates,updates-brics,English (default),Economic development updates,General updates > Economic development updates > BRICS updates,23,23,0,0,0,2014-09-25,2023-03-05,exact
97,3,Education,education,English (default),Economic development updates,General updates > Economic development updates > Education,3,3,0,0,0,2022-08-29,2023-11-07,exact
98,3,Healthcare,healthcare,English (default),Economic development updates,General updates > Economic development updates > Healthcare,89,89,0,0,0,2021-02-16,2022-11-29,heuristic
99,3,New financial order updates,updates-finance,English (default),Economic development updates,General updates > Economic development updates > New financial order updates,46,46,0,0,0,2019-03-18,2023-01-19,heuristic
100,3,New Silk Road / BRI updates,updates-bri,English (default),Economic development updates,General updates > Economic development updates > New Silk Road / BRI updates,151,150,0,1,1,2014-11-05,2024-12-13,exact
101,3,Power & Energy,power-energy,English (default),Economic development updates,General updates > Economic development updates > Power & Energy,44,44,0,0,0,2021-04-13,2023-01-19,exact
102,3,Railway projects,railway-projects,English (default),Economic development updates,General updates > Economic development updates > Railway projects,8,8,0,0,0,2022-02-03,2023-11-07,exact
103,3,Space updates,updates-space,English (default),Economic development updates,General updates > Economic development updates > Space updates,54,54,0,0,0,2013-03-27,2023-01-19,heuristic
104,3,World Land-Bridge updates,updates-wlb,English (default),Economic development updates,General updates > Economic development updates > World Land-Bridge updates,86,85,0,1,0,2013-09-26,2023-01-19,heuristic
105,2,Finance,finance,English (default),General updates,General updates > Finance,46,46,0,0,0,2021-02-26,2023-05-09,exact
106,2,Geopolitics updates,updates-geopolitics,English (default),General updates,General updates > Geopolitics updates,240,240,0,0,3,2014-11-05,2024-09-29,heuristic
107,3,Environmentalism updates,updates-environmentalism,English (default),Geopolitics updates,General updates > Geopolitics updates > Environmentalism updates,60,60,0,0,0,2012-12-11,2023-07-22,exact
108,4,Green New Deal,green-new-deal,English (default),Environmentalism updates,General updates > Geopolitics updates > Environmentalism updates > Green New Deal,51,51,0,0,0,2021-02-16,2022-08-03,heuristic
109,3,Sanctions,sanctions,English (default),Geopolitics updates,General updates > Geopolitics updates > Sanctions,53,53,0,0,0,2021-07-25,2023-07-30,exact
110,3,World war danger updates,updates-war,English (default),Geopolitics updates,General updates > Geopolitics updates > World war danger updates,200,200,0,0,3,2013-09-26,2024-09-29,exact
