Post ID,Date,Status,Author,Title,Category Slugs (| separated),Tags (| separated)
5121,2014-09-18,draft,motoki,TEST-1-MK,allgemein,
5123,2014-09-22,draft,motoki,"Helga Zepp-LaRouche: China, Contrary to the West, Is Not Operating on the Basis of Geopolitics",allgemein,
18512,2014-09-24,draft,jason,The New Silk Road Leads to the Future Of Mankind!,allgemein,
23603,2014-12-29,draft,motoki,Jacques Cheminade : une nouvelle Route de la soie maritime et terrestre a son fondement d'entente Est-Ouest (INTERVIEW)‏,allgemein-fr,
25236,2015-03-10,draft,jason,,allgemein,
25429,2015-03-14,draft,jason,,allgemein,
29526,2012-12-11,draft,jason,Two Opposing Worlds Meet; Development or Death,green-fr,
29789,2015-06-19,draft,Jean Trebuchet,,allgemein,
30732,2015-06-27,draft,Jean Trebuchet,Séance de questions / réponses - Second panel,allgemein,
31712,2015-08-11,draft,jason,Call to Stop the Immediate Danger of World War III!,allgemein,
32436,2015-10-28,draft,motoki,In the Face of the Refugee Crisis: Realizing a Grand Vision,allgemein-ru,
32735,2015-11-03,draft,tobi,Eine Resolution zur Verteidigung des Lebens von Milliarden Menschen:  Wir sagen Nein zum CO2-Reduktionplan der Pariser COP21-Konferenz!,green-fr,
33924,2016-03-22,draft,tobi,Arabische Tageszeitung: Helga Zepp-LaRouches Projekt der Neuen Seidenstraße wird Realität,brics-de-2|brics-de,
37345,2016-09-26,draft,motoki,EIN NEUES PARADIGMA FÜR DIE GEMEINSAMEN ZIELE DER MENSCHHEIT!,,
37692,2016-12-20,draft,tobi,Ein Vorgeschmack auf die Renaissance,updates-culture|allgemein,
37799,2017-01-03,draft,tobi,Акция хора Шиллеровского института в Нью-Йорке в память погибших в авиакатастрофе 25 декабря 2016 года,brics-de|eine-neue-renaissance|weltkrieg-stoppen,
41444,2017-05-19,draft,motoki,"Belt and Road Forum (May 14 - 15, 2017) - Quotes of World Leaders",allgemein,
42264,2017-10-13,draft,motoki,Webcast mit Helga Zepp-LaRouche – 12. Oktober 2017,allgemein,
43134,2017-11-16,draft,jason,Zweite russisch-chinesische Erdöl-Pipeline fertiggestellt,allgemein,
44106,2017-12-19,draft,motoki,Bulgaria's Contribution to B&R Initiative in the Context of Balkans' Geopolitics,allgemein,
