legacy_id,title,current_type,status,date,lang,slug,proposed_type,confidence,decided_by,topics,region,campaign,series,person_hints,auto_apply,final_type,reviewer_note,note
59,Error 404 Page,page,publish,2012-10-25,en,error-404-page,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
89,Icons,page,private,2012-10-25,en,icons,retire,high,auto,,,,,,TRUE,,,deterministic: junk/test/empty title
91,Navigation,page,private,2012-10-25,en,navigation,retire,high,auto,,,,,,TRUE,,,deterministic: junk/test/empty title
95,Custom Pricing Tables,page,private,2012-10-25,en,custom-pricing-tables,retire,high,auto,,,,,,TRUE,,,deterministic: junk/test/empty title
387,Only A Complete Change In Paradigm Can Avoid Catastrophy,portfolio,publish,2012-11-14,en,20121124am-zepp-larouche,si_presentation,high,llm,New Paradigm; Peace & Strategy,,,,Helga Zepp-LaRouche,TRUE,,,conference keynote transcript (portfolio)
403,Portfolio Item 02,portfolio,publish,2012-11-14,en,portfolio-item-02,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
404,Portfolio Item 03,portfolio,publish,2012-11-14,en,portfolio-item-03,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
405,Portfolio Item 04,portfolio,publish,2012-11-14,en,portfolio-item-04,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
406,Portfolio Item 05,portfolio,publish,2012-11-14,en,portfolio-item-05,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
407,Portfolio Item 06,portfolio,publish,2012-11-14,en,portfolio-item-06,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
408,Portfolio Item 07,portfolio,publish,2012-11-14,en,portfolio-item-07,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
409,Portfolio Item 08,portfolio,publish,2012-11-14,en,portfolio-item-08,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
410,Portfolio Item 09,portfolio,publish,2012-11-14,en,portfolio-item-09,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
411,Portfolio Item 10,portfolio,publish,2012-11-14,en,portfolio-item-10,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
412,Portfolio Item 11,portfolio,publish,2012-11-14,en,portfolio-item-11,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
413,Portfolio Item 12,portfolio,publish,2012-11-14,en,portfolio-item-12,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
414,Portfolio Item 13,portfolio,publish,2012-11-14,en,portfolio-item-13,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
415,Portfolio Item 14,portfolio,publish,2012-11-14,en,portfolio-item-14,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
416,Portfolio Item 15,portfolio,publish,2012-11-14,en,portfolio-item-15,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
417,Portfolio Item 16,portfolio,publish,2012-11-14,en,portfolio-item-16,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
418,Portfolio Item 17,portfolio,publish,2012-11-14,en,portfolio-item-17,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
419,Portfolio Item 18,portfolio,publish,2012-11-14,en,portfolio-item-18,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
420,Portfolio Item 19,portfolio,publish,2012-11-14,en,portfolio-item-19,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
