token,occurrences_in_published_posts,distinct_posts,occurrences_in_published_pages
hr,296,96,324
button,355,191,262
toggle,223,34,236
title_big,37,18,302
title_small,110,21,205
caption,152,51,141
one_half,78,32,207
one_half_last,78,32,205
one_third_last,12,12,199
two_third,10,10,184
info_box,112,95,28
wide_bar,9,4,102
call_to_action_big,61,57,35
tab,21,6,70
call_to_action_bar,58,40,22
one_third,14,8,65
blockquote,43,24,23
testimonial,38,8,25
portfolio,0,0,59
image,11,4,37
applause,22,7,22
two_third_last,10,7,31
embed,9,5,27
ajax_load_more,0,0,31
tabs,6,6,21
FN,0,0,23
icon,5,4,11
audio,10,9,3
video,4,4,6
one_fourth,1,1,7
one_fourth_last,1,1,5
dropcap,1,1,3
list,1,1,0
