term_id,slug,name,taxonomy,parent_term_id,count
1,allgemein,General,category,0,1495
505,updates,General updates,category,0,664
438,helga-zepp-larouche-de,Helga Zepp-LaRouche,category,0,355
462,webcast-mit-helga-zepp-larouche,Webcast mit Helga Zepp-LaRouche,category,0,341
520,updates-development,Economic development updates,category,505,330
471,webcast-de,Webcast,category,0,289
465,hzl-webcast,Helga Webcast,category,483,263
651,37,37,category,0,250
639,global-diplomacy,Global Diplomacy,category,0,243
508,updates-geopolitics,Geopolitics updates,category,505,240
537,hzl-video-de,Helga Video,category,0,234
629,harley_schlanger_daily_update,Harley Schlanger Daily Update,category,0,217
652,524,524,category,0,206
33,updates-war,World war danger updates,category,508,200
436,hzl,Helga Zepp-LaRouche,category,0,185
446,updates-bri,New Silk Road / BRI updates,category,520,150
484,activity,Activity of the Schiller Institute,category,0,137
649,551,551,category,0,134
483,hzl-video,Helga Video,category,436,132
439,neue-seidenstrasse,Neue Seidenstrasse,category,0,131
542,hzl-text-de,"Helga statement, article, transcript",category,0,125
798,international-peace-coalition,International Peace Coalition,category,0,124
96,weltkrieg-stoppen,Weltkrieg stoppen,category,93,122
448,bri-de,BRI,category,0,118
659,global-diplomacy-de,Global Diplomacy,category,0,114
640,china,China,category,639,113
801,internationale-friedenskoalition,internationale Friedenskoalition,category,526,110
653,530,530,category,0,107
671,659,659,category,0,105
702,healthcare-updates-development,Healthcare,category,520,101
660,russia,Russia,category,639,100
634,healthcare,Healthcare,category,626,89
180,brics-de,BRICS,category,0,88
526,activity-de,Activity of the Schiller Institute,category,0,88
480,hzl-coverage,Helga media coverage or interview,category,436,85
506,updates-wlb,World Land-Bridge updates,category,520,85
643,covid-19,COVID-19,category,634,85
530,updates-geopolitics-de,Geopolitics updates,category,0,84
481,hzl-text,"Helga statement, article, transcript",category,436,83
524,updates-de,General updates,category,0,82
625,daily-beethoven-sparks-of-joy,Daily Beethoven — Sparks of Joy,category,0,81
97,die-weltlandbrucke-bauen,Die Weltlandbrücke bauen,category,93,80
657,96,96,category,0,79
467,coverage-de,Coverage,category,0,78
509,updates-music,Music updates,category,34,76
510,activity-conference,Our conferences,category,484,74
551,updates-development-de,Economic development updates,category,0,74
34,updates-culture,Cultural renaissance updates,category,505,71
519,activity-initiatives,"Our initiatives (petitions, etc)",category,484,69
485,activity-coverage,Media coverage of our activity,category,484,67
667,agriculture,Agriculture,category,520,67
738,afghanistan,Afghanistan,category,639,65
95,grun-bedeutet-tod,"""Grün"" bedeutet Tod",category,93,61
539,hzl-coverage-de,Helga media coverage or interview,category,0,61
31,updates-environmentalism,Environmentalism updates,category,508,60
637,healthcare-de,Healthcare,category,0,60
757,afghanistan-allgemein-de,Afghanistan,category,0,60
641,united-states,United States,category,639,58
98,updates-space,Space updates,category,520,54
742,sanctions,Sanctions,category,508,53
658,china-de,China,category,0,52
632,green-new-deal,Green New Deal,category,31,51
472,coverage-de-2,Coverage,category,0,49
670,658,658,category,0,47
678,526,526,category,0,47
680,438,438,category,0,47
521,updates-finance,New financial order updates,category,520,46
642,finance,Finance,category,505,46
700,power-energy,Power &amp; Energy,category,520,44
626,committee-for-the-coincidence-of-opposites,The Committee for the Coincidence of Opposites,category,0,41
633,color-revolutions,Color Revolutions,category,33,40
563,activity-initiatives-de,"Our initiatives (petitions, etc)",category,0,39
367,brics-de-2,BRICS,category,0,36
668,637,637,category,0,36
65,allgemein-ru,Allgemein,category,0,35
94,eine-neue-renaissance,Eine neue Renaissance,category,93,33
501,location-nyc,New York City SI activity,category,497,33
540,activity-coverage-de,Media coverage of our activity,category,0,31
487,activity-musical,Our musical events,category,484,30
635,green-new-deal-de,Green New Deal,category,0,30
486,activity-cultural,Our cultural events,category,484,26
654,635,635,category,0,26
716,stoppt-die-sanktionen,Stoppt die Sanktionen,category,93,26
474,brics-de-4,BRICS,category,93,25
488,activity-economic,Our economic development events,category,484,25
636,color-revolutions-de,Color Revolutions,category,0,25
683,563,563,category,0,25
550,updates-finance-de,New financial order updates,category,0,24
368,updates-brics,BRICS updates,category,520,23
555,location-germany-de,Germany SI activity,category,0,23
740,germany,Germany,category,639,22
650,95,95,category,0,21
656,636,636,category,0,20
739,pakistan-global-diplomacy,Pakistan,category,639,20
766,ukraine,Ukraine,category,639,20
628,committee-for-the-coincidence-of-opposites-de,The Committee for the Coincidence of Opposites,category,0,19
672,544,544,category,0,19
528,activity-conference-de,Our conferences,category,0,18
544,updates-space-de,Space updates,category,0,18
648,counterintelligence-de,Counterintelligence,category,0,17
679,471,471,category,0,17
756,haiti-allgemein-de,Haiti,category,0,17
787,ccd-hitlist,CCD Hitlist,category,0,17
623,komitee-coincidenica-oppositorum-zusammenfall-der-gegensatze-de,Komitee Coincidenica Oppositorum (Zusammenfall der Gegensätze),category,0,16
647,counterintelligence,Counterintelligence,category,0,16
676,540,540,category,0,16
682,539,539,category,0,16
692,india,India,category,639,16
704,world-food-program,World Food Program,category,639,16
732,483,483,category,0,16
531,updates-wlb-de,World Land-Bridge updates,category,0,15
669,628,628,category,0,15
796,465,465,category,0,15
753,haiti,Haiti,category,639,14
675,531,531,category,0,13
733,436,436,category,0,13
767,bri-belt-road,BRI - Belt &amp; Road,category,520,13
517,studies-economic,Economic development studies,category,516,12
518,studies-science,Scientific research studies,category,516,12
522,location-china,China SI activity,category,513,12
674,448,448,category,0,12
677,528,528,category,0,12
684,537,537,category,0,12
565,studies-science-de,Scientific research studies,category,0,11
705,94,94,category,0,11
770,ibn-sina,Ibn Sina,category,0,11
541,location-china-de,China SI activity,category,0,10
493,location-germany,Germany SI activity,category,490,9
497,location-usa,United States SI activity,category,489,9
701,542,542,category,0,9
717,stop-the-sanctions,Stop the Sanctions,category,0,9
646,mexico,Mexico,category,639,8
724,history,History,category,0,8
746,uzbekistan,Uzbekistan,category,639,8
775,railway-projects,Railway projects,category,520,8
93,unsere-kampagne,Unsere Kampagne,category,0,7
490,location-europe,Europe SI activity,category,489,7
492,location-france,France SI activity,category,490,7
498,location-boston,Boston SI activity,category,497,7
500,location-houston,Houston SI activity,category,497,7
685,argentina,Argentina,category,639,7
750,france,France,category,639,7
779,africa,Africa,category,639,7
468,old-coverage,old coverage,category,0,6
504,location-va,Northern Virginia SI activity,category,497,6
523,location-russia,Russia SI activity,category,515,6
655,550,550,category,0,6
723,so-africa,So. Africa,category,639,6
769,food-agriculture,Food/agriculture,category,0,6
529,location-usa-de,United States SI activity,category,0,5
