legacy_id,post_type,post_status,language,trid,slug,title,date,legacy_url,categories,rule,proposed_type,confidence,needs_review,proposed_topics,proposed_regions,proposed_campaigns,proposed_series,notes,final_type,final_topics,reviewer,person_hints
59,page,publish,en,59,error-404-page,Error 404 Page,2012-10-25,,,RETIRE,retire,high,1,,,,,known junk slug,retire,,fable-day1,
89,page,private,en,89,icons,Icons,2012-10-25,,,RETIRE,retire,high,1,,,,,known junk slug,retire,,fable-day1,
91,page,private,en,91,navigation,Navigation,2012-10-25,,,RETIRE,retire,high,1,,,,,known junk slug,retire,,fable-day1,
95,page,private,en,95,custom-pricing-tables,Custom Pricing Tables,2012-10-25,,,RETIRE,retire,high,1,,,,,known junk slug,retire,,fable-day1,
147,client,publish,en,147,music-vibes,Music Vibes,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
161,client,publish,en,161,feline-express,Feline Express,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
162,client,publish,en,162,walk-about,Walk About,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
163,client,publish,en,163,monster-celular,Monster Celular,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
164,client,publish,en,164,cool-love,Cool Love,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
165,client,publish,en,165,sandras-bookkeeping,Sandra's Bookkeeping,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
166,client,publish,en,166,bad-thoughts-inc,Bad Thoughts Inc,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
167,client,publish,en,167,pedro-rocha,Pedro Rocha,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
168,client,publish,en,168,juaat,Juaat!,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
169,client,publish,en,169,three-rays,Three Rays,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
170,client,publish,en,170,frukt-kuriren,Frukt Kuriren,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
171,client,publish,en,171,bee-happy,Bee Happy,2012-10-25,,,RETIRE,retire,auto,0,,,,,Vanguard demo/infra type,,,,
387,portfolio,publish,en,387,20121124am-zepp-larouche,Only A Complete Change In Paradigm Can Avoid Catastrophy,2012-11-14,,,R1,si_presentation,high,1,,,,,the one real item in the Vanguard demo type | the one real item in Vanguard demo type,si_presentation,conference Nov 2012,fable-day1,Helga Zepp-LaRouche
403,portfolio,publish,en,403,portfolio-item-02,Portfolio Item 02,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
404,portfolio,publish,en,404,portfolio-item-03,Portfolio Item 03,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
405,portfolio,publish,en,405,portfolio-item-04,Portfolio Item 04,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
406,portfolio,publish,en,406,portfolio-item-05,Portfolio Item 05,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
407,portfolio,publish,en,407,portfolio-item-06,Portfolio Item 06,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
408,portfolio,publish,en,408,portfolio-item-07,Portfolio Item 07,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
409,portfolio,publish,en,409,portfolio-item-08,Portfolio Item 08,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
410,portfolio,publish,en,410,portfolio-item-09,Portfolio Item 09,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
411,portfolio,publish,en,411,portfolio-item-10,Portfolio Item 10,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
412,portfolio,publish,en,412,portfolio-item-11,Portfolio Item 11,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
413,portfolio,publish,en,413,portfolio-item-12,Portfolio Item 12,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
414,portfolio,publish,en,414,portfolio-item-13,Portfolio Item 13,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
415,portfolio,publish,en,415,portfolio-item-14,Portfolio Item 14,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
416,portfolio,publish,en,416,portfolio-item-15,Portfolio Item 15,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
417,portfolio,publish,en,417,portfolio-item-16,Portfolio Item 16,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
418,portfolio,publish,en,418,portfolio-item-17,Portfolio Item 17,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
419,portfolio,publish,en,419,portfolio-item-18,Portfolio Item 18,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
420,portfolio,publish,en,420,portfolio-item-19,Portfolio Item 19,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
421,portfolio,publish,en,421,portfolio-item-20,Portfolio Item 20,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
422,portfolio,publish,en,422,portfolio-item-21,Portfolio Item 21,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
423,portfolio,publish,en,423,portfolio-item-22,Portfolio Item 22,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
424,portfolio,publish,en,424,portfolio-item-23,Portfolio Item 23,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
425,portfolio,publish,en,425,portfolio-item-24,Portfolio Item 24,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
426,portfolio,publish,en,426,portfolio-item-25,Portfolio Item 25,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
427,portfolio,publish,en,427,portfolio-item-26,Portfolio Item 26,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
428,portfolio,publish,en,428,portfolio-item-27,Portfolio Item 27,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
429,portfolio,publish,en,429,portfolio-item-28,Portfolio Item 28,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
430,portfolio,publish,en,430,portfolio-item-29,Portfolio Item 29,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
431,portfolio,publish,en,431,portfolio-item-30,Portfolio Item 30,2012-11-14,,,RETIRE,retire,auto,0,,,,,Vanguard demo content,,,,
