conference_key,yt_playlist_id,portfolio_terms,title,start_date,end_date,location,wp_match_type,wp_match_id,wp_match_url,action,duplicate_lang_playlists,needs_review,notes,final_action,reviewer
2025-berlin-wolf-paradigm-relations,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr,Berlin Conference: “Man Is Not a Wolf to Man” For a New Paradigm in International Relations!,2025-01-01,,,post,105075,,create,,1,match score 1: Helga Zepp-LaRouche Raises Nuclear War Danger at Berlin China-Europe C; dates are proposals — fix start/end,,
2025-2025-memorial-weekend-beautiful,PLoHwt4KyUk5CoOZjiQx8ZzJUx9crewBuB,,2025 Memorial Day Weekend Conference — A Beautiful Vision for Humanity in Times of Great Turbulence!,2025-01-01,,,post,107277,,create,,1,match score 6: Conference Invitation—A Beautiful Vision for Humanity in Times of Grea; dates are proposals — fix start/end,,
2024-spirit-beethoven-become-brethren,PLoHwt4KyUk5BuFCwNp09wFxSsuN1HZbrp,,"In the Spirit of Schiller and Beethoven: All Men Become Brethren! — Dec. 7-8, 2024",2024-01-01,,,post,105713,,create,,1,match score 4: Conference: In the Spirit of Schiller and Beethoven: All Men Become Br; dates are proposals — fix start/end,,
2024-press-danger-nuclear-real,PLoHwt4KyUk5ChmKI_mz2IhgGLpKvQrovy,,"Press Conference: The Danger of Nuclear War Is Real, and Must Be Stopped",2024-01-01,,,post,102742,,create,,1,"match score 5: Emergency Press Conference: The Danger of Nuclear War Is Real, and Mus; dates are proposals — fix start/end",,
2023-strategic-situation-after-historic,PLoHwt4KyUk5A6e8qKmpq9qQfQhl938kpr,,The Strategic Situation After the Historic BRICS Summit - Panel 1,2023-01-01,,,post,92773,,create,,1,match score 1: Schiller-Institut spricht bei BRICS-Forschungskonferenz; dates are proposals — fix start/end,,
2023-join-hands-global-majority,PLoHwt4KyUk5Cw0AyJkn5PjjWLC9_akeMK,,"Let us Join Hands with the Global Majority To Create a New Chapter in World History!  September 9, 2023 Conference",2023-01-01,,,post,98310,,create,,1,match score 8: Conference: Let us Join Hands with the Global Majority To Create a New; dates are proposals — fix start/end,,
2023-without-development-nations-there,PLoHwt4KyUk5DIAI7N5K8YvBmoEdKcvmSG,frankfurt-april-2013|frankfurt-april-2013-fr,"Without the Development of All Nations, There Can Be No Lasting Peace for the Planet · April 15-16, 2023 Conference",2023-01-01,,,post,96288,,create,,1,"match score 7: Conference: Without the Development of All Nations, There Can Be No La; dates are proposals — fix start/end",,
2023-february-reason-annihilation-humanity,PLoHwt4KyUk5Dffz7jVAihCnoXT2RCUBRs,,February 4 conference: The Age of Reason or the Annihilation of Humanity?,2023-01-01,,,post,94709,,create,,1,match score 3: Conference: The Age of Reason or the Annihilation of Humanity?; dates are proposals — fix start/end,,
2023-january-stop-nato-world,PLoHwt4KyUk5BI_QxL_lMYxjK-L9D6pwIf,,January 14 — Stop NATO's World War and Dismantle the 'International Assassination Bureau',2023-01-01,,,post,92344,,create,,1,match score 2: Conference: For World Peace — Stop the Danger of World War; dates are proposals — fix start/end,,
2022-2022-stop-danger-nuclear,PLoHwt4KyUk5D1_Z7Zi02Q9kn0Jf7HxdBO,,"Nov. 22, 2022 conference: Stop the Danger of Nuclear War Now",2022-01-01,,,post,93027,,create,,1,match score 3: Conference: Stop the Danger of Nuclear War Now; dates are proposals — fix start/end,,
