legacy_id,tier,language,trid,date,slug,title,legacy_url,current_rule,current_type,yt_embeds,yt_embed_ids,yt_links,panel_headings,agenda_headings,speaker_lines,title_event,event_markers,conference_key,conf_source,conf_match_note,seg_covered,words,evidence,action_needed,needs_review,proposed_action,final_action,reviewer,notes
37397,A,de,18339,2016-10-27,erfolgreiche-konferenzen-des-schiller-instituts-lyon-und-essen-europa-mus-die-chancen-der-neuen-seidenstrase-ergreifen,Erfolgreiche Konferenz des Schiller-Instituts in Lyon und Essen: Europa muß die Chancen der Neuen Seidenstraße ergreifen!,/blog/2016/10/27/erfolgreiche-konferenzen-des-schiller-instituts-lyon-und-essen-europa-mus-die-chancen-der-neuen-seidenstrase-ergreifen/,R9,post,11,smV0v7AuPfY|_d-mo0WXbyQ|NwbnSnCrnEs|tAtXRhaP4Pg|l4Z0GyeQIDM|rz3mOZi6PBk|f3nwYgld0Y4|naCwIbN6W60|pXSprf0UJ_0|vbrtVViOHj4|doZnUgt6q6w,0,,,0,1,,2016-lyon,conference-map,match score 1: Erfolgreiche Konferenz des Schiller-Instituts in Lyon und Essen: Europ; dates are proposals — fix start/end,0/11,2015,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2016-lyon,,,
107277,A,en,159880,2025-03-01,conference-invitation,Conference Invitation—A Beautiful Vision for Humanity in Times of Great Turbulence!,/blog/2025/03/01/conference-invitation/,R9,post,6,Wkc97KwskC0|gUk_uBdziJI|QeW8Qfy20r0|8Of4R6uMjU8|cRBXdmrBWsY|t1Wo8E7nheA,1,,,0,1,edt,2025-2025-memorial-weekend-beautiful,conference-map,match score 6: Conference Invitation—A Beautiful Vision for Humanity in Times of Grea; dates are proposals — fix start/end,4/6,1733,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2025-2025-memorial-weekend-beautiful,,,
97527,A,en,158556,2023-07-20,conference-on-the-verge-of-a-new-world-war-european-nations-must-cooperate-with-the-global-south,Conference: On the Verge of a New World War: European Nations Must Cooperate with the Global South!,/blog/2023/07/20/conference-on-the-verge-of-a-new-world-war-european-nations-must-cooperate-with-the-global-south/,R9,post,5,Bms8S3HL78g|Cpcg6kSRWCk|GhvQjfhiY3o|V4XxaKdG_-o|YCS8y1KDssY,1,Panel I: Peace in the World Through a New Security and Development Architecture for Each and Every Country: The Indispensable Strategic Autonomy of European Countries|Panel 1 Summary|Panel II : Why It Is in the Strategic Interest of European Nations To Cooperate with the Global South|Panel 2 Summary|Panel III : The Peace Movement Worldwide Above Party Lines; The Special Case of the United States; The Role of the Vatican and the Global South|Panel 3 Summary|Panel IV: A Culture To Emancipate and Expand the Creative Capacities of Every Human Being; A Dialogue among Cultures and Civilizations|Panel 4 Summary,,14,1,,2023-07-08-strasbourg-european-conference,conference-map,added for the 13 per-talk text posts (97463-97916) reclassified si_presentation; no YT playlist found,0/5,2886,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2023-07-08-strasbourg-european-conference,,,
65126,A,en,22133,2020-12-11,conference-the-world-after-the-u-s-election-creating-a-world-based-on-reason,Conference: The World after the U.S. Election Creating A World Based on Reason 12-13 December 2020,/blog/2020/12/11/conference-the-world-after-the-u-s-election-creating-a-world-based-on-reason/,R4,post,4,jYW8pPG9PJw|tCCDBK4cgKE|ts3pLWoledE|DQ-gngOx1HE,0,,,0,1,est,2020-december-2020-world-after,conference-map,match score 9: Conference: The World after the U.S. Election Creating A World Based o; dates are proposals — fix start/end,3/4,380,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2020-december-2020-world-after,,,
81913,A,en,155793,2021-11-11,conference-all-moral-resources-of-humanity-have-to-be-called-up-mankind-must-be-the-immortal-species,Conference: All Moral Resources of Humanity Have To Be Called Up: Mankind Must Be the Immortal Species!,/blog/2021/11/11/conference-all-moral-resources-of-humanity-have-to-be-called-up-mankind-must-be-the-immortal-species/,R9,post,4,XMS4fI8hYbE|U2jhXuyvQ1E|gMtyQjyfanE|25Dp8Hi5cBc,0,"Panel 1 — Saturday, November 13, 10am EST Can a Strategic Crisis Between the Major Powers Be Avoided?|Panel 2: Saturday, November 13, 2pm EDT The Science of Physical Economy|Panel 3: Sunday, November 14, 10am EST There Are No Limits to Growth in the Universe|Panel 4: Sunday, November 14, 2pm EST The Beauty of True Human Culture|Part 2 of Panel 1|Part 2 of Panel 2",Question and Answer Session|Question and Answer Session to include discussants:|Question and Answer Session with discussants:|Question and Answer Session - to include discussant:|Question and Answer Session|Question and Answer Session,0,1,edt|est,2021-mankind-immortal-species,conference-map,match score 3: Conference: All Moral Resources of Humanity Have To Be Called Up: Mank; dates are proposals — fix start/end,3/4,1193,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2021-mankind-immortal-species,,,
96288,A,en,158382,2023-04-14,conference-without-the-development-of-all-nations-there-can-be-no-lasting-peace-for-the-planet,"Conference: Without the Development of All Nations, There Can Be No Lasting Peace for the Planet",/blog/2023/04/14/conference-without-the-development-of-all-nations-there-can-be-no-lasting-peace-for-the-planet/,R9,post,4,4HDUvJEbpgo|I0NZoy6jmT4|kVoEOZuwunk|nlcCYQqAELY,0,"Panel 1 — Saturday, April 15, 9am EDT, 3pm CET|Panel 2 — Saturday, April 15, 1pm EDT, 7pm CET|Panel 3 — Sunday, April 16, 9am EDT, 3pm CET|Panel 4 — Sunday, April 16, 1pm EDT, 7pm CET",,0,1,cet|edt,2023-without-development-nations-there,conference-map,"match score 7: Conference: Without the Development of All Nations, There Can Be No La; dates are proposals — fix start/end",4/4,886,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2023-without-development-nations-there,,,
105713,A,en,159724,2024-12-06,conference-in-the-spirit-of-schiller-and-beethoven-all-men-become-brethren,Conference: In the Spirit of Schiller and Beethoven: All Men Become Brethren!,/blog/2024/12/06/conference-in-the-spirit-of-schiller-and-beethoven-all-men-become-brethren/,R4,post,4,pPRUHXXnyIQ|3cEmeoenoaA|S9ltnjy5W4Q|Hi2cUOmeveQ,0,"Panel 1: The Strategic Crisis: New and Final World War, or a New Paradigm of the One Humanity? Saturday, December 7, 9:00 am EST; 15:00 hrs. CET|Panel 2: The Great Projects To Overcome the Migrant Crisis; The New, Quality Productive Forces; A New Just World Economic Order Saturday, December 7, 1:00 pm EST; 19:00 hrs. CET|Panel 3: The Science Drivers of Physical Economy Today Sunday, December 8, 9:00 am EST; 15:00 hrs. CET|Panel 4: The Beauty of the Cultures of the World: A Dialogue Among Civilizations Sunday, December 8, 1:00 pm EST; 19:00 hrs. CET",,0,1,cet|est,2024-spirit-beethoven-become-brethren,conference-map,match score 4: Conference: In the Spirit of Schiller and Beethoven: All Men Become Br; dates are proposals — fix start/end,4/4,588,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2024-spirit-beethoven-become-brethren,,,
34087,A,en,18050,2016-04-11,manhattan-conference-building-a-world-land-bridge-realizing-mankinds-true-humanity-april-7th,"Manhattan Conference: Building A World Land-Bridge—Realizing Mankind's True Humanity, April 7th",/blog/2016/04/11/manhattan-conference-building-a-world-land-bridge-realizing-mankinds-true-humanity-april-7th/,R3,post,3,twOn1KeB4HA|ysuQRLg6i3Q|h56VwMTzfQ0,0,Panel I|Panel II|Panel III,,0,1,,2016-building-world-land-bridge|2017-april-2017-silk-road|2017-soden-fulfilling-dream-mankind|2017-symposium-aesthetic-education-humanity,conference-map,match score 1: Manhattan Conference: Building A World Land-Bridge—Realizing Mankind's; dates are proposals — fix start/end ; match score 1: Manhattan Conference: Building A World Land-Bridge—Realizing,3/3,14703,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2016-building-world-land-bridge,,,
60199,A,en,21364,2020-06-26,conference-will-humanity-prosper-or-perish-the-future-demands-a-four-power-summit-now-2,"June 27 Conference: Will Humanity Prosper, or Perish? The Future Demands a 'Four-Power' Summit Now",/blog/2020/06/26/conference-will-humanity-prosper-or-perish-the-future-demands-a-four-power-summit-now-2/,R4,post,3,Y6aDzmwJb7s|gmvQftqGuqM|TEgNPGzmuQ8,0,"Panel I — 10 am EDT “Instead of Geopolitics: The Principles of Statecraft”|Panel II — 1:30pm EDT “Why a 1.5 Billion Productive Jobs Program Can End War, Famine, Poverty, and Disease”|Panel III — 4pm EDT ""The Job of Youth""",,0,1,edt,2020-june-2020-humanity-prosper|2021-june,conference-map,"match score 1: June 27 Conference: Will Humanity Prosper, or Perish? The Future Deman; dates are proposals — fix start/end; alt candidate: id 75460 Video: Invitation to the June 26-27 Conference ; mat",3/3,506,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2020-june-2020-humanity-prosper,,,
62768,A,en,21744,2020-09-24,62768,"Youth Conference —The World Has a Choice: Extinction, or Era of LaRouche",/blog/2020/09/24/62768/,R9,post,2,g2r5rJkkNp4|Ey9g5LzTcz4,0,"Panel 1: “The World Needs the Exoneration of Lyndon LaRouche” 10:00 AM - 1:00 PM EDT|Panel 2: “The Science, Culture, and Great Projects of a Global Renaissance” 2:00 PM - 5:00PM EDT",,0,1,edt|rsvp,2020-september-2020-youth-world,conference-map,"match score 5: Youth Conference —The World Has a Choice: Extinction, or Era of LaRouc; dates are proposals — fix start/end",2/2,235,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2020-september-2020-youth-world,,,
