ID,title,kind
19494,"Die Welt braucht dringend eine neue, inklusive Sicherheitsarchitektur!",legacy-unmapped-terms
19501,"Die Neue Seidenstraße führt in die Zukunft der Menschheit!",legacy-unmapped-terms
19508,"Helga Zepp-LaRouche in China: Die Neue Seidenstraße ist die Friedensordnung für das 21. Jahrhundert",legacy-unmapped-terms
19604,"Von der moralischen Überlegenheit der Staatschefs der BRICS-Länder",legacy-unmapped-terms
19617,"Rede in Beijing: Ein plötzlicher Ausbruch von Optimismus",legacy-unmapped-terms
19630,"Geopolitisches Denken trübt das Urteil des Westens",legacy-unmapped-terms
19643,"Neue gerechte Weltwirtschaftsordnung entsteht um die Neue Seidenstraße!",legacy-unmapped-terms
22559,"Д-р Фатимa Хашеми: Роль Ирана в стратегии Нового шёлкового пути в третьем тысячелетии",legacy-unmapped-terms
22566,"Джейшри Сенгупта: БРИКС и новый международный мировой порядок",no-portfolio-terms
22571,"Д-р Натaлия Витренко: Конструктивная альтернатива существующему миропорядку и стабильность на Украине – путь спасения человечества",legacy-unmapped-terms
22574,"Али Растбеен: Концепция будущего Евразии",legacy-unmapped-terms
22577,"Жак Шеминад: Самовосприятие Европы &#8211; преимущество его перемены в новой парадигме",legacy-unmapped-terms
22582,"Антонио Галлони: Политика Энрико Маттеи как универсальный образец для отношений Север—Юг и Запад—Восток",legacy-unmapped-terms
22589,"Пэй Хуа &#038; Чэнь Бо:  Приветственное слово от Китайского фонда Сун Цинлин",legacy-unmapped-terms
23114,"THE U.S. AND EUROPE MUST HAVE THE COURAGE TO REJECT GEOPOLITICS AND COLLABORATE WITH THE BRICS",legacy-unmapped-terms
23188,"Die USA und Europa müssen den Mut aufbringen, mit der Geopolitik zu brechen und  mit den BRICS-Staaten zusammenzuarbeiten",legacy-unmapped-terms
23605,"Jacques Cheminade : une nouvelle Route de la soie maritime et terrestre a son fondement d&#8217;entente Est-Ouest (INTERVIEW)‏",no-portfolio-terms
31356,"Hussein Askary : 两个体制间的西南亚",legacy-unmapped-terms
31596,"Denys Pluvinage : 一种新的文化方式: 打造多极世界",legacy-unmapped-terms
36474,"Ludwig van Beethoven: &#8220;Die Himmel rühmen des Ewigen Ehre&#8221;",legacy-unmapped-terms
36480,"Fadeyev: Morning at the Sea",legacy-unmapped-terms
36484,"Peter Tchaikovsky: Andante Cantabile",legacy-unmapped-terms
36488,"Antonio Vivaldi: Concerto in A-major RV 158",legacy-unmapped-terms
36494,"Johann Sebastian Bach: Double Violin Concerto in D minor for Two Violin BVW 1043",legacy-unmapped-terms
37242,"Helga Zepp-LaRouche addresses T20 Summit in Beijing, China",legacy-unmapped-terms
40765,"Wonderful &#8220;Musical Dialogue of Culture&#8221; Concert in Copenhagen",legacy-unmapped-terms
40856,"Musical Offering to the Alexandrov Ensemble and the People of Russia",legacy-unmapped-terms
29885,"Pr François Gervais &#8211; Le climat réel valide-t-il les modèles de climat virtuel ?",no-portfolio-terms
31558,"S.E.M. Ali Ahani : 伊朗准备与金砖五国合作",legacy-unmapped-terms
42679,"Jacques Cheminade : La politique économique sous-jacente au projet &#8220;Une ceinture, une Route&#8221;",legacy-unmapped-terms
42682,"Ali Rastbeen : La géostratégie chinoise autour des Nouvelles Routes de la soie",no-portfolio-terms
42804,"Chine, robotique, Europe &#8211; Questions / Réponses avec le public",no-portfolio-terms
52027,"Prospects for East-West Collaboration: The Russian Federation’s View",no-portfolio-terms
70845,"“The Truth about the Syrian Crisis.”",no-portfolio-terms
18516,"The New Silk Road Leads to the Future Of Mankind!",legacy-unmapped-terms
18704,"What the West Has To Learn from the Ongoing Transformation of China",legacy-unmapped-terms
19126,"We Need a New, Inclusive World Security Architecture",legacy-unmapped-terms
387,"Only A Complete Change In Paradigm Can Avoid Catastrophy",no-portfolio-terms
1477,"Une renaissance de la culture classique en Europe",no-portfolio-terms
2096,"Helga Zepp-LaRouche: Un nuevo Paradigma para la Supervivencia de la Civilización",legacy-unmapped-terms
2098,"Ali Reza Sheikh Attar: Las consecuencias de la inestabilidad  en el Medio Oriente",legacy-unmapped-terms
2101,"Lyndon H. LaRouche, Jr.: La cuestión crucial de esta crisis",legacy-unmapped-terms
2103,"Hussein Askary: Un Revolucionario Plan de Desarrollo  para Medio Oriente",legacy-unmapped-terms
2258,"Lorella Presotto: El futuro para Italia",legacy-unmapped-terms
2778,"Wolfgang Amadeus Mozart, &#8220;The Dissonance Quartet&#8221;, K. 465",no-portfolio-terms
3021,"Helga Zepp-LaRouche: Die Menschheit ist besser, als die Oligarchie es sich vorstellen kann",legacy-unmapped-terms
3028,"Walter Jones: Ohne Vernunft auf den Finanzmärkten kann die Welt nicht weiter existieren",legacy-unmapped-terms
3036,"Lyndon LaRouche: Die strategische Sicht aus den Vereinigten Staaten",legacy-unmapped-terms
3319,"Jason Ross: Warum die Verteidigung des Planeten realen Profit abwirft",legacy-unmapped-terms
3322,"Bruce Fein: Die Fundamente der Zivilisation",legacy-unmapped-terms
3327,"Kyrill Benediktow: Die Verteidigung des Planeten vor Bedrohungen durch Asteroiden und Kometen — Eine Sicht aus Rußland",legacy-unmapped-terms
3331,"Diane Sare: Der Kampf um Glass-Steagall in den Vereinigten Staaten",legacy-unmapped-terms
3333,"Prof. Theodore Katsanevas: Das Leben mit dem Euro und dem extremen Monetarismus des Kasino-Kapitalismus",legacy-unmapped-terms
3337,"Ritorna vincitor • From &#8220;Aida&#8221; by Verdi",legacy-unmapped-terms
3338,"Tu che le vanità • From &#8220;Don Carlo&#8221; by Verdi",legacy-unmapped-terms
3339,"Ave Maria • From &#8220;Otello&#8221; by Verdi",legacy-unmapped-terms
3340,"In solitaria stanza •  From &#8220;Sei Romanze&#8221; by Verdi",legacy-unmapped-terms
3341,"Ella mi fu rapita – Parmi veder le lagrime • From &#8220;Rigoletto&#8221; by Verdi",legacy-unmapped-terms
3342,"Adelaide &#8211; Ludwig van Beethoven",legacy-unmapped-terms
3343,"Contrabass Concerto &#8211; Dittersdorf",legacy-unmapped-terms
3354,"Alexander Nagorny: Die chinesische Dimension des strategischen Dreiecks USA-China-Rußland",legacy-unmapped-terms
3364,"Natalia Witrenko: Eurasische Integration als Überlebenschance in der globalen Wirtschaftskrise",legacy-unmapped-terms
