person_key,canonical_name,honorific,affiliation,country,person_type,aliases,source_refs,occurrences,needs_review,notes,final_action,reviewer
helga-zepp-larouche,Helga Zepp-LaRouche,,"Helga Zepp-LaRouche, President of the international Schiller Institute, Germany",Germany,speaker,Helga Zepp-LaRouche,portfolio:885|portfolio:1037|portfolio:1186|portfolio:1432|portfolio:1564|portfolio:1638|portfolio:2029|portfolio:2096|portfolio:2177|portfolio:2848,30,0,possible duplicate of: h-zepp-larouche — reviewed: KEEP (merge target of the alias row),,mk
jacques-cheminade,Jacques Cheminade,,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",France,speaker,Jacques Cheminade,portfolio:1062|portfolio:1441|portfolio:1622|portfolio:2870|portfolio:3467|portfolio:3630|portfolio:20350|portfolio:21766|portfolio:21767|portfolio:23605,19,0,,,mk
hussein-askary,Hussein Askary,,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Hussein Askary,portfolio:930|portfolio:1277|portfolio:1574|portfolio:2103|portfolio:2996|portfolio:3499|portfolio:3602|portfolio:30609|portfolio:30611|portfolio:30612,14,0,,,mk
lyndon-larouche,Lyndon LaRouche,,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",U.S,speaker,Lyndon LaRouche,portfolio:1057|portfolio:1444|portfolio:1619|portfolio:1836|portfolio:3011|portfolio:3036|portfolio:3668|portfolio:3844|portfolio:30205|post:98908@yt:V3N9_8B44Xc@498,10,0,possible duplicate of: lyndon-h-larouche — reviewed: KEEP (merge target of the alias row),merge:lyndon-h-larouche-jr,mk
daisuke-kotegawa,Daisuke Kotegawa,,déjà vu,,speaker,Daisuke Kotegawa,portfolio:2141|portfolio:2867|portfolio:3368|portfolio:3371|portfolio:3470|portfolio:34398|portfolio:34917|portfolio:34952,8,0,,,mk
alain-corvez,Alain Corvez,Colonel,"former advisor to the General-in-Command of UNIFIL (United Nations Interim Force in Lebanon), former international relations advisor to the French Foreign Minis",,speaker,Alain Corvez|Col. (ret.) Alain Corvez|Col. Alain Corvez (cr)|Colonel (ret.) Alain Corvez|Colonel Alain Corvez|Colonel Alain Corvez (cr),portfolio:21354|portfolio:21606|portfolio:29727|portfolio:30593|portfolio:30683|portfolio:34390|portfolio:34822|portfolio:35733,8,0,,,mk
bruce-fein,Bruce Fein,,summum bonum,,speaker,Bruce Fein,portfolio:2030|portfolio:2313|portfolio:2669|portfolio:2857|portfolio:3200|portfolio:3322|portfolio:3452,7,0,,,mk
jason-ross,Jason Ross,,21st Century Science &amp; Technology,,speaker,Jason Ross,portfolio:2854|portfolio:3319|portfolio:3449|portfolio:22819|portfolio:22850|portfolio:22851|post:88412@yt:7DI29EO5R3A@763,7,0,,,mk
jayshree-sengupta,Jayshree Sengupta,,"Senior Fellow, Observer Research Foundation, New Delhi, India",,speaker,Jayshree Sengupta,portfolio:19966|portfolio:21637|portfolio:21777|portfolio:29715|portfolio:30561|portfolio:30912|portfolio:31601,7,0,,,mk
diogene-senny,Diogène Senny,,"Secrétaire général de la Ligue Panafricaine - UMOJA (LP-U), Paris, France",,speaker,Diogène Senny,portfolio:21378|portfolio:21620|portfolio:22628|portfolio:29777|portfolio:30676|portfolio:30680|portfolio:31329,7,0,,,mk
theodore-katsanevas,Prof. Theodore Katsanevas,Prof.,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Prof. Theodore Katsanevas|Theodore Katsanevas,portfolio:1422|portfolio:1635|portfolio:2999|portfolio:3333|portfolio:3502,5,0,,,mk
diane-sare,Diane Sare,,were,U.S.,speaker,Diane Sare,portfolio:2863|portfolio:3312|portfolio:3331|portfolio:3496|post:98908@yt:A7sx7BUvdK4@5842,5,0,,,mk
christine-bierre,Christine Bierre,,"Journaliste, Paris.",,speaker,Christine Bierre,portfolio:29755|portfolio:30037|portfolio:30291|portfolio:31354|portfolio:42684,5,0,,,mk
michael-billington,Michael Billington,,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Michael Billington,portfolio:1017|portfolio:1460|portfolio:1610|portfolio:3671,4,0,possible duplicate of: mike-billington — reviewed: KEEP (merge target of the alias row),,mk
lorella-presotto,Lorella Presotto,,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Lorella Presotto,portfolio:1466|portfolio:1649|portfolio:1653|portfolio:2258,4,0,,,mk
хельга-цепп-ларуш,ХЕЛЬГА ЦЕПП-ЛАРУШ,,"Helga Zepp-LaRouche, President of the international Schiller Institute, Germany",,speaker,ХЕЛЬГА ЦЕПП-ЛАРУШ|Хельга Цепп-Ларуш|Хельга Цепп-Ларуш (Германия),portfolio:1839|portfolio:1848|portfolio:3281|portfolio:21421,4,1,possible duplicate of: хелга-цепп-ларуш; non-latin key — resolve via WPML pairing to EN sibling,,mk
walter-jones,Walter Jones,Rep.,Der amerikanische Kongreßabgeordnete Walter Jones übermittelte der Konferenz des Schiller-Instituts die folgende Videobotschaft.,,speaker,Rep. Walter Jones|Walter Jones,portfolio:2805|portfolio:3028|portfolio:3655|portfolio:4907,4,0,distinct persons (Rep. Walter Jones vs EIR journalist William C. Jones),,mk
natalia-vitrenko,Natalia Vitrenko,,Zero,,speaker,Natalia Vitrenko,portfolio:2888|portfolio:3307|portfolio:3493|portfolio:19914,4,0,,,mk
nino-galloni,Dr. Nino Galloni,Dr.,"(Italy); Economist, Former Director General of the Italian Labor Ministry",,speaker,Dr. Nino Galloni|Nino Galloni,portfolio:2915|portfolio:3505|portfolio:3614|post:88412@yt:SRpSX5udXrw@3674,4,0,,merge:antonino-galloni,mk
ray-mcgovern,Ray McGovern,,Veteran Intelligence Professionals for Sanity,,speaker,Ray McGovern,portfolio:4863|portfolio:21826|portfolio:22634|portfolio:22680,4,0,possible duplicate of: raymond-mcgovern — reviewed: KEEP (merge target of the alias row),merge:raymond-mcgovern,mk
shi-ze,Prof. Shi Ze,Professor,"Director for International Energy Strategy Studies, and China Institute of International Studies Senior Fellow, Beijing, China",,speaker,Prof. Shi Ze|Professor Shi Ze,portfolio:20097|portfolio:21757|portfolio:30812|portfolio:30854,4,0,,,mk
ali-rastbeen,Ali Rastbeen,,"fondateur et président de l'Académie de Géopolitique de Paris, Paris, France",,speaker,Ali Rastbeen,portfolio:21307|portfolio:21567|portfolio:21773|portfolio:42682,4,0,,,mk
leonid-kadyshev,Leonid Kadyshev,,Ministre conseiller de l’Ambassade de Russie en France.,,speaker,Leonid Kadyshev,portfolio:29611|portfolio:29871|portfolio:29985|portfolio:31554,4,0,,,mk
h-h-s-viswanathan,H.H.S. Viswanathan,,"Membre émérite à l’Observer Research Foundation. Coordinateur des activités liées aux BRICS et à l’IBSA (Groupe Inde, Brésil, Afrique du Sud), New Delhi, Inde.",,speaker,H.H.S. Viswanathan,portfolio:29674|portfolio:29878|portfolio:30208|portfolio:31556,4,0,,,mk
jean-francois-di-meglio,Jean-François Di Meglio,,"Président d’ASIA Centre, Paris",,speaker,Jean-François Di Meglio,portfolio:29701|portfolio:30597|portfolio:30875|portfolio:31599,4,0,,,mk
musikalische-einleitung,Musikalische Einleitung,,,,speaker,Musikalische Einleitung,portfolio:30818|portfolio:30820|portfolio:30844|portfolio:30867,4,0,,drop,mk
michel-raimbaud,Michel Raimbaud,,"One hears much talk about a new cold war that would lead us back to the old confrontation between the “Free World,” the ancestor of the “Axis of Good,” and a “t",,speaker,Michel Raimbaud,portfolio:34737|portfolio:35369|portfolio:35998|portfolio:42793,4,0,,,mk
daniel-estulin,Daniel Estulin,,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Daniel Estulin,portfolio:1028|portfolio:1429|portfolio:1629,3,0,,,mk
mulugeta-zewdie-michael,Mulugeta Zewdie Michael,,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Mulugeta Zewdie Michael,portfolio:1039|portfolio:1457|portfolio:1613,3,0,,,mk
didier-schmitt,Didier Schmitt,Dr.,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Didier Schmitt|Dr. Didier Schmitt,portfolio:1066|portfolio:1447|portfolio:1587,3,0,,,mk
bassam-tahhan,Prof. Bassam Tahhan,Prof.,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Bassam Tahhan|Prof. Bassam Tahhan,portfolio:1332|portfolio:1412|portfolio:1577,3,0,,,mk
ghoncheh-tazmini,Ghoncheh Tazmini,,"[icon id=""301"" floatLeft=""true"" /]Text bald verfügbar!",,speaker,Ghoncheh Tazmini,portfolio:1336|portfolio:1417|portfolio:1580,3,0,,,mk
жак-шеминад,ЖАК ШЕМИНАД,,"президент организации ""Солидарность и прогресс"", Париж, Франция",,speaker,ЖАК ШЕМИНАД|Жак Шеминад|Жак Шеминад (Франция),portfolio:1835|portfolio:3275|portfolio:22577,3,1,non-latin key — resolve via WPML pairing to EN sibling,,mk
michael-kirsch,Michael Kirsch,,,,speaker,Michael Kirsch,portfolio:2243|portfolio:2883|portfolio:3222,3,0,,,mk
dennis-small,Dennis Small,,"Schiller Institute, U.S.",U.S.,speaker,Dennis Small,portfolio:2657|portfolio:3207|post:98908@yt:V3N9_8B44Xc@1408,3,0,,,mk
