person_key,canonical_name,yt_video_id,timestamps,frame_files,photo_license,photo_credit,photo_source_url,chosen_frame,confidence,final_action,reviewer,notes,proposed_frame,face_pct,sharpness,crop_note,candidates_json,slot_source
abbey-makoe,Abbey Makoe,THWTp_W75c0,10004|10447|10890,abbey-makoe-0.jpg|abbey-makoe-1.jpg|abbey-makoe-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=THWTp_W75c0&t=10004,,needs-review,skip,mk,reviewed in the crop sheet: no usable portrait in these frames,abbey-makoe-2.jpg,8.8,121.1,,"[{""frame"": ""abbey-makoe-2.jpg"", ""crop"": ""abbey-makoe-2.jpg"", ""face"": true, ""pct"": 8.8, ""sharp"": 121.1, ""score"": 8.36, ""via"": ""frontalface_default"", ""size"": [140, 175]}, {""frame"": ""abbey-makoe-0.jpg"", ""crop"": null, ""face"": false, ""pct"": 0, ""sharp"": 0, ""score"": 0}, {""frame"": ""abbey-makoe-1.jpg"", ""crop"": null, ""face"": false, ""pct"": 0, ""sharp"": 0, ""score"": 0}]",segment
achim-bonatz,Achim Bonatz,Gep6VAh4H9o,7417|7673|7929,achim-bonatz-0.jpg|achim-bonatz-1.jpg|achim-bonatz-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=Gep6VAh4H9o&t=7417,,needs-review,skip,mk,reviewed in the crop sheet: no usable portrait in these frames,achim-bonatz-1.jpg,18.6,196.1,,"[{""frame"": ""achim-bonatz-1.jpg"", ""crop"": ""achim-bonatz-1.jpg"", ""face"": true, ""pct"": 18.6, ""sharp"": 196.1, ""score"": 26.22, ""via"": ""frontalface_default"", ""size"": [298, 372]}, {""frame"": ""achim-bonatz-0.jpg"", ""crop"": ""achim-bonatz-0.jpg"", ""face"": true, ""pct"": 19.4, ""sharp"": 151.7, ""score"": 25.64, ""via"": ""frontalface_default"", ""size"": [311, 389]}, {""frame"": ""achim-bonatz-2.jpg"", ""crop"": ""achim-bonatz-2.jpg"", ""face"": true, ""pct"": 21.8, ""sharp"": 74.8, ""score"": 24.04, ""via"": ""frontalface_default"", ""size"": [349, 436]}]",segment
adrian-pearl,Adrian Pearl,cRBXdmrBWsY,165|300|435,,,,,,none,skip,,ffmpeg produced no usable frame,,,,timestamps cover the whole session — this person cannot be located in it,,agenda-only
alejandro-yaya,Alejandro Yaya,83Kzsg20gAo,8520|8653|8786,alejandro-yaya-0.jpg|alejandro-yaya-1.jpg|alejandro-yaya-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=83Kzsg20gAo&t=8520,alejandro-yaya-0.jpg,needs-review,,mk,,alejandro-yaya-0.jpg,56.9,8.4,,"[{""frame"": ""alejandro-yaya-0.jpg"", ""crop"": ""alejandro-yaya-0.jpg"", ""face"": true, ""pct"": 56.9, ""sharp"": 8.4, ""score"": 57.38, ""via"": ""frontalface_default"", ""size"": [576, 720]}, {""frame"": ""alejandro-yaya-1.jpg"", ""crop"": ""alejandro-yaya-1.jpg"", ""face"": true, ""pct"": 53.6, ""sharp"": 9.8, ""score"": 51.24, ""via"": ""frontalface_default"", ""size"": [576, 720]}, {""frame"": ""alejandro-yaya-2.jpg"", ""crop"": null, ""face"": false, ""pct"": 0, ""sharp"": 0, ""score"": 0}]",segment
alexander-k-bobrov,Alexander K. Bobrov,3cEmeoenoaA,2604|2773|2941,alexander-k-bobrov-0.jpg|alexander-k-bobrov-1.jpg|alexander-k-bobrov-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=3cEmeoenoaA&t=2604,,needs-review,skip,mk,reviewed in the crop sheet: no usable portrait in these frames,alexander-k-bobrov-0.jpg,53.8,13.5,,"[{""frame"": ""alexander-k-bobrov-0.jpg"", ""crop"": ""alexander-k-bobrov-0.jpg"", ""face"": true, ""pct"": 53.8, ""sharp"": 13.5, ""score"": 48.13, ""via"": ""profileface"", ""size"": [576, 720]}, {""frame"": ""alexander-k-bobrov-1.jpg"", ""crop"": ""alexander-k-bobrov-1.jpg"", ""face"": true, ""pct"": 53.2, ""sharp"": 12.7, ""score"": 46.89, ""via"": ""profileface"", ""size"": [576, 720]}, {""frame"": ""alexander-k-bobrov-2.jpg"", ""crop"": ""alexander-k-bobrov-2.jpg"", ""face"": true, ""pct"": 51.4, ""sharp"": 13.0, ""score"": 42.78, ""via"": ""frontalface_alt2"", ""size"": [576, 720]}]",segment
alexey-boguslavskiy,Alexey Boguslavskiy,83Kzsg20gAo,1838|1953|2068,alexey-boguslavskiy-0.jpg|alexey-boguslavskiy-1.jpg|alexey-boguslavskiy-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=83Kzsg20gAo&t=1838,alexey-boguslavskiy-0.jpg,needs-review,,mk,,alexey-boguslavskiy-1.jpg,33.8,97.1,,"[{""frame"": ""alexey-boguslavskiy-1.jpg"", ""crop"": ""alexey-boguslavskiy-1.jpg"", ""face"": true, ""pct"": 33.8, ""sharp"": 97.1, ""score"": 40.0, ""via"": ""profileface"", ""size"": [540, 675]}, {""frame"": ""alexey-boguslavskiy-0.jpg"", ""crop"": ""alexey-boguslavskiy-0.jpg"", ""face"": true, ""pct"": 34.0, ""sharp"": 66.3, ""score"": 37.8, ""via"": ""frontalface_default"", ""size"": [544, 681]}, {""frame"": ""alexey-boguslavskiy-2.jpg"", ""crop"": ""alexey-boguslavskiy-2.jpg"", ""face"": true, ""pct"": 31.9, ""sharp"": 82.1, ""score"": 36.59, ""via"": ""profileface"", ""size"": [511, 639]}]",segment
alicia-diaz-brown,Alicia Díaz Brown,gmvQftqGuqM,165|300|435,alicia-diaz-brown-0.jpg|alicia-diaz-brown-1.jpg|alicia-diaz-brown-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=gmvQftqGuqM&t=165,,needs-review,skip,,,,,,timestamps cover the whole session — this person cannot be located in it,,agenda-only
amna-malik,Amna Malik,U2jhXuyvQ1E,165|300|435,amna-malik-0.jpg|amna-malik-1.jpg|amna-malik-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=U2jhXuyvQ1E&t=165,,needs-review,skip,,,,,,timestamps cover the whole session — this person cannot be located in it,,agenda-only
amzat-boukari-yabara,Amzat Boukari-Yabara,O-6e3dmzDoQ,3991|4274|4557,amzat-boukari-yabara-0.jpg|amzat-boukari-yabara-1.jpg|amzat-boukari-yabara-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=O-6e3dmzDoQ&t=3991,,needs-review,skip,mk,reviewed in the crop sheet: no usable portrait in these frames,,,,no face found in any frame,"[{""frame"": ""amzat-boukari-yabara-0.jpg"", ""crop"": null, ""face"": false, ""pct"": 0, ""sharp"": 0, ""score"": 0}, {""frame"": ""amzat-boukari-yabara-1.jpg"", ""crop"": null, ""face"": false, ""pct"": 0, ""sharp"": 0, ""score"": 0}, {""frame"": ""amzat-boukari-yabara-2.jpg"", ""crop"": null, ""face"": false, ""pct"": 0, ""sharp"": 0, ""score"": 0}]",segment
anika-telmanyi-lylloff,Anika Telmányi Lylloff,nTR10aFD5ms,130|231|332,anika-telmanyi-lylloff-0.jpg|anika-telmanyi-lylloff-1.jpg|anika-telmanyi-lylloff-2.jpg,si-video-still,Schiller Institute (still from conference recording),https://www.youtube.com/watch?v=nTR10aFD5ms&t=130,,needs-review,skip,,,,,,timestamps cover the whole session — this person cannot be located in it,,agenda-only
