person_key,canonical_name,tier,attachment_id,file_path,width,height,photo_license,photo_credit,photo_source_url,confidence,candidates_json,final_action,reviewer,notes
helga-zepp-larouche,Helga Zepp-LaRouche,1,938,2012/12/20121125-zepplarouche-podium-2.jpg,,,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2012/12/20121125-zepplarouche-podium-2.jpg,authoritative,,,,featured image of portfolio:885; 10 portfolio photos available
jacques-cheminade,Jacques Cheminade,1,1064,2012/12/20121125-cheminade.jpg,,,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2012/12/20121125-cheminade.jpg,authoritative,,,,featured image of portfolio:1062; 9 portfolio photos available
hussein-askary,Hussein Askary,1,931,2012/12/20121124-askary.jpg,,,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2012/12/20121124-askary.jpg,authoritative,,,,featured image of portfolio:930; 10 portfolio photos available
daisuke-kotegawa,Daisuke Kotegawa,1,2868,2013/04/20130413-kotegawa.jpg,,,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2013/04/20130413-kotegawa.jpg,authoritative,,,,featured image of portfolio:2867; 7 portfolio photos available
alain-corvez,Alain Corvez,1,34815,2016/06/NP-Corvez.png,1080,720,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2016/06/NP-Corvez.png,authoritative,,,,featured image of portfolio:35733; 8 portfolio photos available
bruce-fein,Bruce Fein,1,2046,2013/02/20130126-fein.jpg,,,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2013/02/20130126-fein.jpg,authoritative,,,,featured image of portfolio:2030; 7 portfolio photos available
jason-ross,Jason Ross,1,2855,2013/04/20130413-jason-ross.jpg,,,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2013/04/20130413-jason-ross.jpg,authoritative,,,,featured image of portfolio:2854; 6 portfolio photos available
jayshree-sengupta,Jayshree Sengupta,1,31602,2015/06/Sengupta.png,3216,1809,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2015/06/Sengupta.png,authoritative,,,,featured image of portfolio:31601; 7 portfolio photos available
diogene-senny,Diogène Senny,1,31330,2015/06/Senny.png,3216,1809,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2015/06/Senny.png,authoritative,,,,featured image of portfolio:31329; 7 portfolio photos available
theodore-katsanevas,Theodore Katsanevas,1,1045,2012/12/20121124-katsanevas.jpg,,,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2012/12/20121124-katsanevas.jpg,authoritative,,,,featured image of portfolio:1422; 5 portfolio photos available
diane-sare,Diane Sare,1,2864,2013/04/20130413-diane-sarew.jpg,,,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2013/04/20130413-diane-sarew.jpg,authoritative,,,,featured image of portfolio:2863; 4 portfolio photos available
christine-bierre,Christine Bierre,1,31355,2015/06/Bierre.png,2976,1674,si-own,Schiller Institute,https://schillerinstitute.com/wp-content/uploads/2015/06/Bierre.png,authoritative,,,,featured image of portfolio:31354; 4 portfolio photos available
