person_key,canonical_name,qid,wd_label,wd_description,image_file,image_url,thumb_url,licence,artist,attribution,commons_page,confidence,corroboration,final_action,reviewer,notes
john-scales-avery,John Scales Avery,Q6256824,John Scales Avery,American chemist,,,,,,,,no-image,,,,Wikidata item has no P18 image
antonino-zichichi,Antonino Zichichi,Q574317,Antonino Zichichi,Italian nuclear physicist (1929-2026),Antoninozichichi.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Antoninozichichi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/Antoninozichichi.jpg/500px-Antoninozichichi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Gabriella Clare Marino Gcmarino,Gabriella Clare Marino Gcmarino / CC BY-SA 3.0 / via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Antoninozichichi.jpg,name-only,,,,name matched but nothing corroborated it — CHECK BY EYE
alfheidur-ingadottir,Álfheidur Ingadóttir,Q250619,Álfheiður Ingadóttir,Icelandic politician,Álfheiður Ingadóttir.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/%C3%81lfhei%C3%B0ur_Ingad%C3%B3ttir.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/%C3%81lfhei%C3%B0ur_Ingad%C3%B3ttir.jpg/500px-%C3%81lfhei%C3%B0ur_Ingad%C3%B3ttir.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Copyrightholder is the Left-Green movement,Copyrightholder is the Left-Green movement / CC BY-SA 3.0 / via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:%C3%81lfhei%C3%B0ur_Ingad%C3%B3ttir.jpg,name-only,,,,name matched but nothing corroborated it — CHECK BY EYE
sebastien-perimony,Sébastien Périmony,Q127277600,Sébastien Perimony,,,,,,,,,no-image,,,,Wikidata item has no P18 image
mana-boubakari,Mana Boubakari,,,,,,,,,,,no-match,,,,no Wikidata search hit
paul-bonnenfant,Paul Bonnenfant,Q55999612,Paul Bonnenfant,photographer,,,,,,,,no-image,,,,Wikidata item has no P18 image
kelvin-kemm-ph-d,Kelvin Kemm,,,,,,,,,,,no-match,,,,no Wikidata search hit
ben-greenspan-m-d,Ben Greenspan,Q125218532,Ben Greenspan,American baseball coach,,,,,,,,no-image,description~affiliation: american,,,Wikidata item has no P18 image
felipe-maruf-quintas,Felipe Maruf Quintas,,,,,,,,,,,no-match,,,,no Wikidata search hit
michel-cibot,Michel Cibot,,,,,,,,,,,no-match,,,,no Wikidata search hit
georgy-toloraya,Georgy Toloraya,Q18278779,Georgy Toloraya,Russian diplomat,,,,,,,,no-image,"citizenship=Russia; description~affiliation: diplomat, russian",,,Wikidata item has no P18 image
robert-cushing,Robert Cushing,Q27949803,Robert Cushing,American politician,Renny Cushing 16153731734.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Renny_Cushing_16153731734.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/7/7b/Renny_Cushing_16153731734.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY 2.0,moveon,moveon / CC BY 2.0 / via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Renny_Cushing_16153731734.jpg,confirmed,citizenship=United States,,,
kiran-karnik,Kiran Karnik,Q6414806,Kiran Karnik,Indian banker,"Kiran Karnik speaking at a seminar on ‘Transforming Asian Economies with E-services’ at 39th Annual General Body meeting of ADB, at Hyderabad on May 3, 2006.jpg",,,GODL-India,,,,unfree,citizenship=India; description~affiliation: indian,,,licence did not parse as free — dropped
david-monyae,David Monyae,,,,,,,,,,,no-match,,,,no Wikidata search hit
ruben-guzzetti,Rubén Guzzetti,,,,,,,,,,,no-match,,,,no Wikidata search hit
franco-battaglia,Franco Battaglia,Q93232720,Franco Battaglia,,,,,,,,,no-image,citizenship=Italy,,,Wikidata item has no P18 image
prof-nbsp-steve-starr,Steve Starr,Q28946888,Steve Starr,animator,,,,,,,,no-image,,,,Wikidata item has no P18 image
dr-nbsp-chandra-muzzaffar,Chandra Muzzaffar,,,,,,,,,,,no-match,,,,no Wikidata search hit
sian-bloor,Sian Bloor,,,,,,,,,,,no-match,,,,no Wikidata search hit
harry-bury,Harry Bury,,,,,,,,,,,no-match,,,,no Wikidata search hit
abbey-makoe,Abbey Makoe,,,,,,,,,,,no-match,,,,no Wikidata search hit
achim-bonatz,Achim Bonatz,,,,,,,,,,,no-match,,,,no Wikidata search hit
adrian-pearl,Adrian Pearl (U.S.),,,,,,,,,,,no-match,,,,no Wikidata search hit
alejandro-yaya,Alejandro Yaya (Argentina),,,,,,,,,,,no-match,,,,no Wikidata search hit
alexey-boguslavskiy,Alexey Boguslavskiy,,,,,,,,,,,no-match,,,,no Wikidata search hit
amzat-boukari-yabara,Amzat Boukari-Yabara,Q99502128,Amzat Boukari-Yabara,"historian, specialist on Africa and secretary general of the Pan-African Umoja League",Amzat Boukari-Yabara 2020 interview.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f1/Amzat_Boukari-Yabara_2020_interview.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/Amzat_Boukari-Yabara_2020_interview.jpg/500px-Amzat_Boukari-Yabara_2020_interview.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,panafricain medias,panafricain medias / CC BY 3.0 / via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Amzat_Boukari-Yabara_2020_interview.jpg,name-only,,,,name matched but nothing corroborated it — CHECK BY EYE
anastasia-battle,Anastasia Battle (U.S.),,,,,,,,,,,no-match,,,,no Wikidata search hit
anika-telmanyi-lylloff,Anika Telmányi Lylloff,,,,,,,,,,,no-match,,,,no Wikidata search hit
areej-atef,Areej Atef,,,,,,,,,,,no-match,,,,no Wikidata search hit
ashley-tran,Ashley Tran (US),,,,,,,,,,,no-match,,,,no Wikidata search hit
atul-aneja,Atul Aneja,,,,,,,,,,,no-match,,,,no Wikidata search hit
benjamin-lylloff,Benjamin Lylloff,,,,,,,,,,,no-match,,,,no Wikidata search hit
boris-meshchanov,Boris Meshchanov,,,,,,,,,,,no-match,,,,no Wikidata search hit
bradley-blankenship,Bradley Blankenship (U.S.),,,,,,,,,,,no-match,,,,no Wikidata search hit
carolina-dominguez-cisneros,Carolina Domínguez Cisneros,,,,,,,,,,,no-match,,,,no Wikidata search hit
cherine-sultan,Chérine Sultan,,,,,,,,,,,no-match,,,,no Wikidata search hit
christen-sorensen,Christen Sørensen,Q12305805,Christen Sørensen,Danish economist,,,,,,,,no-image,,,,Wikidata item has no P18 image
claudio-giudici,Claudio Giudici,,,,,,,,,,,no-match,,,,no Wikidata search hit
conductor-irina-freitag,Conductor: Irina Freitag,,,,,,,,,,,no-match,,,,no Wikidata search hit
cornelia-pretorius,Cornelia Pretorius,,,,,,,,,,,no-match,,,,no Wikidata search hit
costas-tsourakis,Costas Tsourakis,,,,,,,,,,,no-match,,,,no Wikidata search hit
daqi-fan,Daqi Fan,,,,,,,,,,,no-match,,,,no Wikidata search hit
