legacy_id,language,trid,date,slug,title,evidence,byline_raw,articles_by_this_name,match,proposed_person_key,proposed_action,confidence,person_hints,wp_author_id,snippet,needs_review,final_action,reviewer,notes
2392,de,1973,2013-03-12,fur-eine-renaissance-der-klassischen-kultur,Für eine Renaissance der klassischen Kultur,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,,8,"Von Helga Zepp-LaRouche Was ist nur aus unserer Welt geworden? Top-Banker warnen vor dem „Weltuntergang“, was sie aber nicht daran hindert, gleichzeitig zweistellige Millionenbeträge an Boni in di",1,,,
25698,de,17302,2015-05-04,das-allerwichtigste-ist-die-beschaftigung-mit-der-menschlichen-kreativitat,Das allerwichtigste ist die Beschäftigung mit der menschlichen Kreativität,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,,33,Von Helga Zepp-LaRouche Die Vorsitzende des Schiller-Instituts hielt vor dem Kultur- und Businessforum „Ost-West-Dialog“ in Baden-Baden am 24. April die folgende Rede. Auch wenn das vielleic,1,,,
32294,en,17645,2015-09-14,a-new-era-of-mankind-where-we-become-truly-human,A New Era of Mankind Where We Become Truly Human,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,,33,by Helga Zepp-LaRouche This is the text of a presentation by Helga Zepp-LaRouche to the 2015 Silk-Road International Academic Conference--How to Establish Silk-Road Studies as an Independent Discipl,1,,,
32438,en,17717,2015-10-28,in-the-face-of-the-refugee-crisis-realizing-a-grand-vision,In the Face of the Refugee Crisis: Realizing a Grand Vision,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,,33,von Helga Zepp-LaRouche Helga Zepp-LaRouche is the founder of the Schiller Institute and the Chairman of the German Civil Rights Movement Solidarity political party (BüSo) The escalating refugee c,1,,,
33551,de,17995,2016-03-17,die-krise-die-neue-seidenstrase-und-indiens-rolle,"Die Krise, die Neue Seidenstraße und Indiens Rolle",leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,,33,"Beim Raisina-Dialog in Neu-Delhi, einer Konferenz mit 600 Teilnehmern aus rund 40 Ländern, die gemeinsam vom indischen Außenministerium und der Observer Research Foundation in Neu-Delhi veranstaltet w",1,,,
33578,de,18000,2016-03-17,deutschlands-entscheidende-rolle-fur-die-neue-seidenstrase,Deutschlands entscheidende Rolle für die Neue Seidenstraße,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,,33,von Helga Zepp-LaRouche Die Neue Seidenstraße ist nicht nur eine sehr wichtige wirtschaftliche Initiative. Als Win-Win-Perspektive ist sie auch als eine Antwort auf die zwei größten gegenwärtigen ,1,,,
43900,de,19049,2017-12-10,helga-zepp-larouche-zhuhai,Helga Zepp-LaRouche in Zhuhai,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,Helga Zepp-LaRouche,26,"Von Helga Zepp-LaRouche Die Gründerin und Präsidentin des internationalen Schiller-Instituts, Helga Zepp-LaRouche, hielt eine der Hauptreden bei einem Forum über die „Maritime Seidenstraße des 21. ",1,,,
44967,de,19193,2018-01-17,prasident-macron-verspricht-kooperation-europas-mit-der-neuen-seidenstrase,Präsident Macron verspricht Kooperation Europas mit der Neuen Seidenstraße!,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,Helga Zepp-LaRouche,26,Von Helga Zepp-LaRouche Der dreitägige Staatsbesuch des französischen Präsidenten Macron in China vom 8.-10. Januar stellt einen strategischen Durchbruch dar. In einer eine Stunde und 15 Minuten da,1,,,
46847,en,19487,2018-06-18,history-is-now-being-written-in-asia-the-eu-summit-must-follow-the-example-of-singapore,History Is Now Being Written in Asia! The EU Summit Must Follow the Example of Singapore!,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,Helga Zepp-LaRouche,15,"by Helga Zepp-LaRouche — The contrast could hardly be clearer. In Singapore, the historic summit between President Donald Trump and Chairman Kim Jong-un launched a process that, beyond the region",1,,,
47094,de,19487,2018-06-18,history-is-now-being-written-in-asia-the-eu-summit-must-follow-the-example-of-singapore,Geschichte wird jetzt in Asien geschrieben: EU-Gipfel muß dem Beispiel von Singapur folgen!,leading-byline,Helga Zepp-LaRouche,76,built,helga-zepp-larouche,accept,high,Helga Zepp-LaRouche,15,"Von Helga Zepp-LaRouche 17/06/2018 Der Kontrast könnte nicht deutlicher sein: In Singapur fand das historische Treffen zwischen Präsident Trump und Präsident Kim Jong-un statt, das einen Prozeß in",1,,,
