id,post_type,title,tokens,flags
91,page,Navigation,"{""hr"":1}",
864,page,Home,[],"dynamic:[ajax_load_more] — rebuild page on a CPT-archive template, do not convert"
891,page,"Panel 1: The Great Middle East",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
895,page,Contact,"{""info_box"":1}",
922,page,"International Conference • November 24-25, 2012",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
958,page,"Panel 2: Space Cooperation and Other Common Aims of Mankind",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1072,page,"Panel 3: The Alternative To World War and Chaos",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1078,page,"Panel 4: There Is Life After the Euro! What Kind of a Europe Do We Want?",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1087,post,"Two Opposing Worlds Meet; Development or Death","{""blockquote"":6}",
1092,page,"Stop Green Fascism","{""title_big"":1,""button"":1,""testimonial"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1103,page,"About Us","{""title_big"":1,""call_to_action_big"":2,""hr"":1,""toggle"":47,""wide_bar"":1,""one_half"":1,""one_half_last"":1,""one_third"":2,""one_third_last"":93,""two_third"":93,""two_third_last"":2,""one_fourth"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1158,page,"Toward a Renaissance of Classical Culture","{""title_big"":5,""title_small"":5,""button"":2,""image"":4,""call_to_action_big"":1,""hr"":6,""toggle"":4,""one_half"":4,""one_half_last"":4,""one_third_last"":4,""two_third"":4}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1161,page,"The World Land-Bridge","{""title_big"":4,""button"":1,""image"":1,""hr"":3,""testimonial"":1,""one_half"":1,""one_half_last"":1,""one_third_last"":1,""two_third"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1206,page,Kontakt,"{""button"":1,""info_box"":1}",
1238,page,"Classical Concert",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1244,page,Start,"{""title_big"":7,""title_small"":2,""button"":8,""image"":1,""call_to_action_big"":1,""info_box"":4,""wide_bar"":4,""one_half"":3,""one_half_last"":3,""one_third"":1,""one_third_last"":2,""two_third"":2,""two_third_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1256,page,Accueil,[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1351,page,"Panel Discussion",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1492,page,"Klassisches Konzert",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1498,page,"Thema 1: Großraum Nahost",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1503,page,"Thema 2: Raumfahrt und die gemeinsamen Ziele der Menschheit",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1505,page,"Thema 3: Die Alternative zu Weltkrieg und Chaos",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1507,page,"Thema 4: Es gibt ein Leben nach dem Euro! Was für ein Europa wollen wir?",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1515,page,Podiumsdiskussion,[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1666,page,"Über uns","{""title_big"":3,""title_small"":2,""wide_bar"":2,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1670,page,Contattaci!,"{""info_box"":1}",
1677,page,"""Grün"" bedeutet Tod","{""title_big"":1,""button"":2,""call_to_action_big"":1,""hr"":6,""info_box"":1,""testimonial"":1,""blockquote"":1,""one_half"":2,""one_half_last"":2,""one_third"":2,""one_third_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
