attachment_id,filename,title,mime,parent_id,parent_type,parent_title,year,filesize,inlink_count,score,proposed_action,doc_type_guess,needs_review,final_action,reviewer
20398,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,19952,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,4,8,promote,program,1,,
20399,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,21284,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,4,8,promote,program,1,,
20400,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,21286,page,"30. Jahrestag der Gründung des Schiller-Instituts",2014,,4,8,promote,program,1,,
20402,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,22599,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,4,8,promote,program,1,,
24822,program.pdf,program,application/pdf,24798,page,"The Manhattan Project",2015,,36,7,promote,program,1,,
20401,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,0,,,2014,,4,6,promote,program,1,,
20403,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,0,,,2014,,4,6,promote,program,1,,
20404,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,0,,,2014,,4,6,promote,program,1,,
20405,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,0,,,2014,,4,6,promote,program,1,,
20406,20141018_conf_program_revised_01.pdf,20141018_conf_program_revised_01,application/pdf,0,,,2014,,4,6,promote,program,1,,
23320,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,1801,page,Главная,2014,,2,6,promote,program,1,,
23321,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,864,page,Home,2014,,2,6,promote,program,1,,
23322,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,1256,page,Accueil,2014,,2,6,promote,program,1,,
23323,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,1244,page,Start,2014,,2,6,promote,program,1,,
23324,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,25797,page,Home,2014,,2,6,promote,program,1,,
23325,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,2194,page,Inicio,2014,,2,6,promote,program,1,,
31054,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,30979,page,首页,2014,,2,6,promote,program,1,,
23930,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,864,page,Home,2015,,1,6,promote,program,1,,
23931,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,1256,page,Accueil,2015,,1,6,promote,program,1,,
23932,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,1244,page,Start,2015,,1,6,promote,program,1,,
23933,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,25797,page,Home,2015,,1,6,promote,program,1,,
23934,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,1801,page,Главная,2015,,1,6,promote,program,1,,
23935,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,2194,page,Inicio,2015,,1,6,promote,program,1,,
31057,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,30979,page,首页,2015,,1,6,promote,program,1,,
36691,Berlin-Concert-Program.pdf,"Berlin Concert Program",application/pdf,36506,page,"Musical Dialogue of Cultures",2016,,2,6,promote,program,1,,
36694,Berlin-Concert-Program.pdf,"Berlin Concert Program",application/pdf,36775,page,"MUSIKALISCHER DIALOG DER KULTUREN",2016,,2,6,promote,program,1,,
107765,202502_dossier_Plan_Oasis_english_final-2.pdf,202502_dossier_Plan_Oasis_english_final,application/pdf,107685,page,"The Oasis Plan - The LaRouche Solution for Southwest Asia",2025,,2,6,promote,report,1,,
4394,Schiller-Institute_JFK-Requiem-Program_final.pdf,Schiller-Institute_JFK-Requiem-Program_final,application/pdf,0,,,2014,,8,5,promote,program,1,,
4395,Schiller-Institute_JFK-Requiem-Program_final.pdf,Schiller-Institute_JFK-Requiem-Program_final,application/pdf,0,,,2014,,8,5,promote,program,1,,
4396,Schiller-Institute_JFK-Requiem-Program_final.pdf,Schiller-Institute_JFK-Requiem-Program_final,application/pdf,0,,,2014,,8,5,promote,program,1,,
4397,Schiller-Institute_JFK-Requiem-Program_final.pdf,Schiller-Institute_JFK-Requiem-Program_final,application/pdf,0,,,2014,,8,5,promote,program,1,,
4398,Schiller-Institute_JFK-Requiem-Program_final.pdf,Schiller-Institute_JFK-Requiem-Program_final,application/pdf,0,,,2014,,8,5,promote,program,1,,
4399,Schiller-Institute_JFK-Requiem-Program_final.pdf,Schiller-Institute_JFK-Requiem-Program_final,application/pdf,0,,,2014,,8,5,promote,program,1,,
4400,Schiller-Institute_JFK-Requiem-Program_final.pdf,Schiller-Institute_JFK-Requiem-Program_final,application/pdf,0,,,2014,,8,5,promote,program,1,,
4401,Schiller-Institute_JFK-Requiem-Program_final.pdf,Schiller-Institute_JFK-Requiem-Program_final,application/pdf,0,,,2014,,8,5,promote,program,1,,
20104,20141018_conf_program_revised.pdf,20141018_conf_program_revised,application/pdf,19952,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,0,5,promote,program,1,,
20105,20141018_conf_program_revised.pdf,20141018_conf_program_revised,application/pdf,21284,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,0,5,promote,program,1,,
20106,20141018_conf_program_revised.pdf,20141018_conf_program_revised,application/pdf,21286,page,"30. Jahrestag der Gründung des Schiller-Instituts",2014,,0,5,promote,program,1,,
20108,20141018_conf_program_revised.pdf,20141018_conf_program_revised,application/pdf,22599,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,0,5,promote,program,1,,
24823,program.pdf,program,application/pdf,0,,,2015,,36,5,promote,program,1,,
24824,program.pdf,program,application/pdf,0,,,2015,,36,5,promote,program,1,,
24825,program.pdf,program,application/pdf,0,,,2015,,36,5,promote,program,1,,
24826,program.pdf,program,application/pdf,0,,,2015,,36,5,promote,program,1,,
24827,program.pdf,program,application/pdf,0,,,2015,,36,5,promote,program,1,,
24828,program.pdf,program,application/pdf,0,,,2015,,36,5,promote,program,1,,
24829,program.pdf,program,application/pdf,0,,,2015,,36,5,promote,program,1,,
24830,program.pdf,program,application/pdf,0,,,2015,,36,5,promote,program,1,,
25353,program003.pdf,program003,application/pdf,25248,post,"Schiller Institute Celebrates Dialogue of Cultures in Düsseldorf",2015,,2,5,promote,program,1,,
37304,Schiller-Sept-10-conf-Program-content-.pdf,schiller-sept-10-conf-program-content,application/pdf,864,page,Home,2016,,1,5,promote,program,1,,
37305,Schiller-Sept-10-conf-Program-content-.pdf,schiller-sept-10-conf-program-content,application/pdf,30979,page,首页,2016,,1,5,promote,program,1,,
37306,Schiller-Sept-10-conf-Program-content-.pdf,schiller-sept-10-conf-program-content,application/pdf,1256,page,Accueil,2016,,1,5,promote,program,1,,
37307,Schiller-Sept-10-conf-Program-content-.pdf,schiller-sept-10-conf-program-content,application/pdf,1244,page,Start,2016,,1,5,promote,program,1,,
37308,Schiller-Sept-10-conf-Program-content-.pdf,schiller-sept-10-conf-program-content,application/pdf,25797,page,Home,2016,,1,5,promote,program,1,,
37309,Schiller-Sept-10-conf-Program-content-.pdf,schiller-sept-10-conf-program-content,application/pdf,1801,page,Главная,2016,,1,5,promote,program,1,,
37310,Schiller-Sept-10-conf-Program-content-.pdf,schiller-sept-10-conf-program-content,application/pdf,2194,page,Inicio,2016,,1,5,promote,program,1,,
41033,20170407-New-Silk-Road-NYU-program.pdf,"20170407 New Silk Road NYU - program",application/pdf,41027,page,"New Silk Road: A Global Infrastructure Renaissance",2017,,1,5,promote,program,1,,
83511,Leonore-Fall-2021_preview.pdf,Leonore-Fall-2021_preview,application/pdf,83499,page,"Leonore Fall 2021 Issue Preview",2022,,4,5,promote,report,1,,
98810,20230905-argentina-program.pdf,20230905-argentina-program,application/pdf,98699,post,"An Emergency Program to Save Argentina, the Newest Member of the BRICS",2023,,2,5,promote,program,1,,
98814,20230905-argentina-program.pdf,20230905-argentina-program,application/pdf,98822,post,"Ein Notfallprogramm zur Rettung Argentiniens, des jüngsten BRICS-Mitglieds",2023,,2,5,promote,program,1,,
100261,Retooling-tables-leafletedited.pdf,Retooling-tables-leafletedited,application/pdf,100116,post,"The Military-Financial Complex Is Bloated on Blood Money from Wars",2024,,2,5,promote,report,1,,
100265,Retooling-tables-leafletedited.pdf,Retooling-tables-leafletedited,application/pdf,100206,post,"Der Militärisch-Finanzielle Komplex wird durch Blutgeld aus Kriegen aufgebläht",2024,,2,5,promote,report,1,,
105545,20241125_SI_development_drive-corrected.pdf,20241125_SI_development_drive-corrected,application/pdf,105479,post,"Report: Development Drive Means Billions of New Jobs, No Refugees, No War",2024,,4,5,promote,report,1,,
105549,20241125_SI_development_drive-corrected.pdf,20241125_SI_development_drive-corrected,application/pdf,105561,post,"„Entwicklungsoffensive bedeutet Milliarden neue Arbeitsplätze, keine Flüchtlinge, kein Krieg“",2024,,4,5,promote,report,1,,
105827,Leonore-Winter-2024.pdf,"Leonore Winter 2024",application/pdf,105816,page,"Leonore Magazine - Art, Science and Statecraft Winter 2024",2024,,4,5,promote,report,1,,
105850,Leonore-Winter-2024-2.pdf,"Leonore Winter 2024",application/pdf,105816,page,"Leonore Magazine - Art, Science and Statecraft Winter 2024",2024,,4,5,promote,report,1,,
109647,Leonore-Spring-2025-Final.pdf,"Leonore Spring 2025-Final",application/pdf,109645,page,"Leonore Magazine - Art, Science and Statecraft Spring 2025",2025,,7,5,promote,report,1,,
109798,Leonore-Spring-2025-Final-1.pdf,"Leonore Spring 2025-Final",application/pdf,105887,page,"All Issues of Leonore Magazine – Art, Science and Statecraft",2025,,3,5,promote,report,1,,
112784,Leonore-Summer-Fall-2025_FINAL-2.pdf,"Leonore Summer-Fall 2025_FINAL",application/pdf,105887,page,"All Issues of Leonore Magazine – Art, Science and Statecraft",2025,,4,5,promote,report,1,,
113797,Leonore-Winter-2025-1.pdf,"Leonore Winter 2025",application/pdf,105887,page,"All Issues of Leonore Magazine – Art, Science and Statecraft",2025,,4,5,promote,report,1,,
116414,Leonore-Spring-2026.pdf,"Leonore Spring 2026",application/pdf,105887,page,"All Issues of Leonore Magazine – Art, Science and Statecraft",2026,,4,5,promote,report,1,,
22750,Frankfurt_Program_RU.pdf,Frankfurt_Program_RU,application/pdf,22599,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,0,4,promote,program,1,,
22751,Frankfurt_Program_RU.pdf,Frankfurt_Program_RU,application/pdf,19952,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,0,4,promote,program,1,,
22752,Frankfurt_Program_RU.pdf,Frankfurt_Program_RU,application/pdf,21284,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014",2014,,0,4,promote,program,1,,
22753,Frankfurt_Program_RU.pdf,Frankfurt_Program_RU,application/pdf,21286,page,"30. Jahrestag der Gründung des Schiller-Instituts",2014,,0,4,promote,program,1,,
23206,20141124_resolution_brics_SI.pdf,20141124_resolution_brics_SI,application/pdf,23188,si_presentation,"Die USA und Europa müssen den Mut aufbringen, mit der Geopolitik zu brechen und  mit den BRICS-Staaten zusammenzuarbeiten",2014,,0,4,promote,memorandum,1,,
23207,20141124_resolution_brics_SI.pdf,20141124_resolution_brics_SI,application/pdf,23114,si_presentation,"THE U.S. AND EUROPE MUST HAVE THE COURAGE TO REJECT GEOPOLITICS AND COLLABORATE WITH THE BRICS",2014,,0,4,promote,memorandum,1,,
23210,20141124_resolution_brics_SI.pdf,20141124_resolution_brics_SI,application/pdf,23331,si_presentation,"Подпишитесь под петицией Шиллеровского института!  США и Европа  должны найти в себе мужество  покончить с геополитикой и начать  сотрудничество со странами БРИКС",2014,,0,4,promote,memorandum,1,,
23268,20141124_resolution_brics_SI_revised.pdf,20141124_resolution_brics_SI_revised,application/pdf,23188,si_presentation,"Die USA und Europa müssen den Mut aufbringen, mit der Geopolitik zu brechen und  mit den BRICS-Staaten zusammenzuarbeiten",2014,,0,4,promote,memorandum,1,,
23269,20141124_resolution_brics_SI_revised.pdf,20141124_resolution_brics_SI_revised,application/pdf,23114,si_presentation,"THE U.S. AND EUROPE MUST HAVE THE COURAGE TO REJECT GEOPOLITICS AND COLLABORATE WITH THE BRICS",2014,,0,4,promote,memorandum,1,,
23272,20141124_resolution_brics_SI_revised.pdf,20141124_resolution_brics_SI_revised,application/pdf,23331,si_presentation,"Подпишитесь под петицией Шиллеровского института!  США и Европа  должны найти в себе мужество  покончить с геополитикой и начать  сотрудничество со странами БРИКС",2014,,0,4,promote,memorandum,1,,
23326,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,0,,,2014,,2,4,promote,program,1,,
23327,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,0,,,2014,,2,4,promote,program,1,,
23328,Frankfurt_Program_RU_final.pdf,Frankfurt_Program_RU_final,application/pdf,0,,,2014,,2,4,promote,program,1,,
23505,20141124_resolution_brics_SI_FINAL.pdf,20141124_resolution_brics_SI_FINAL,application/pdf,23188,si_presentation,"Die USA und Europa müssen den Mut aufbringen, mit der Geopolitik zu brechen und  mit den BRICS-Staaten zusammenzuarbeiten",2014,,0,4,promote,memorandum,1,,
23506,20141124_resolution_brics_SI_FINAL.pdf,20141124_resolution_brics_SI_FINAL,application/pdf,23114,si_presentation,"THE U.S. AND EUROPE MUST HAVE THE COURAGE TO REJECT GEOPOLITICS AND COLLABORATE WITH THE BRICS",2014,,0,4,promote,memorandum,1,,
23509,20141124_resolution_brics_SI_FINAL.pdf,20141124_resolution_brics_SI_FINAL,application/pdf,23331,si_presentation,"Подпишитесь под петицией Шиллеровского института!  США и Европа  должны найти в себе мужество  покончить с геополитикой и начать  сотрудничество со странами БРИКС",2014,,0,4,promote,memorandum,1,,
23921,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23922,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23923,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23924,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23925,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23926,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23927,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23928,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23936,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23937,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
23938,20141207_si_conf_program_2.pdf,20141207_si_conf_program_2,application/pdf,0,,,2015,,1,4,promote,program,1,,
25354,program003.pdf,program003,application/pdf,0,,,2015,,2,4,promote,program,1,,
25355,program003.pdf,program003,application/pdf,0,,,2015,,2,4,promote,program,1,,
25356,program003.pdf,program003,application/pdf,0,,,2015,,2,4,promote,program,1,,
25357,program003.pdf,program003,application/pdf,0,,,2015,,2,4,promote,program,1,,
25358,program003.pdf,program003,application/pdf,0,,,2015,,2,4,promote,program,1,,
25359,program003.pdf,program003,application/pdf,0,,,2015,,2,4,promote,program,1,,
25360,program003.pdf,program003,application/pdf,0,,,2015,,2,4,promote,program,1,,
25361,program003.pdf,program003,application/pdf,0,,,2015,,2,4,promote,program,1,,
29486,PROGRAM-and-Speakers-Schiller_Conf-English.pdf,"PROGRAM  and Speakers Schiller_Conf English",application/pdf,864,page,Home,2015,,0,4,promote,program,1,,
29487,PROGRAM-and-Speakers-Schiller_Conf-English.pdf,"PROGRAM  and Speakers Schiller_Conf English",application/pdf,1256,page,Accueil,2015,,0,4,promote,program,1,,
29488,PROGRAM-and-Speakers-Schiller_Conf-English.pdf,"PROGRAM  and Speakers Schiller_Conf English",application/pdf,1244,page,Start,2015,,0,4,promote,program,1,,
29489,PROGRAM-and-Speakers-Schiller_Conf-English.pdf,"PROGRAM  and Speakers Schiller_Conf English",application/pdf,25797,page,Home,2015,,0,4,promote,program,1,,
29490,PROGRAM-and-Speakers-Schiller_Conf-English.pdf,"PROGRAM  and Speakers Schiller_Conf English",application/pdf,1801,page,Главная,2015,,0,4,promote,program,1,,
29491,PROGRAM-and-Speakers-Schiller_Conf-English.pdf,"PROGRAM  and Speakers Schiller_Conf English",application/pdf,2194,page,Inicio,2015,,0,4,promote,program,1,,
31077,PROGRAM-and-Speakers-Schiller_Conf-English.pdf,"PROGRAM  and Speakers Schiller_Conf English",application/pdf,30979,page,首页,2015,,0,4,promote,program,1,,
30299,Konferenzprogramm-Redner-.pdf,Konferenzprogramm-Redner,application/pdf,1244,page,Start,2015,,0,4,promote,program,1,,
30300,Konferenzprogramm-Redner-.pdf,Konferenzprogramm-Redner,application/pdf,864,page,Home,2015,,0,4,promote,program,1,,
30301,Konferenzprogramm-Redner-.pdf,Konferenzprogramm-Redner,application/pdf,1256,page,Accueil,2015,,0,4,promote,program,1,,
30302,Konferenzprogramm-Redner-.pdf,Konferenzprogramm-Redner,application/pdf,25797,page,Home,2015,,0,4,promote,program,1,,
