element_type,count
post_attachment,66994
post_post,4318
package_gutenberg,2018
post_portfolio_cpt,817
tax_portfolio_category,320
post_page,316
tax_category,257
post_nav_menu_item,168
tax_post_tag,89
post_optionsframework,54
post_portfolio,33
post_wp_navigation,32
tax_translation_priority,30
post_slider,23
comment,14
post_client,12
tax_slider_category,10
post_cookielawinfo,6
tax_cookielawinfo-category,6
post_tablepress_table,4
tax_nav_menu,4
package_elementor,3
post_wp_block,2
package_block,1
post_dlm_download,1
post_elementor_library,1
