yt_video_id,segment_index,playlist_id,conference_key,panel_title,case,kind,start_seconds,end_seconds,speaker_raw,person_key,country,affiliation,talk_title,title_autogenerated,agenda_json,chapters_json,source,upgrade_candidate,needs_review,notes,final_action,reviewer
hhdocM6T7cg,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,5,full_session,,,"Ray McGovern — Invoke the Noah Principle",,,,"Ray McGovern — Invoke the Noah Principle",0,"[{""speaker_raw"":""Ray McGovern, a former CIA analyst, speaking in Berlin at a conference of the Schiller Institute on July 12th, 2025, called the audience to face up to the reality and start building peace. He also pointed out the fact that Trump administration, despite all of its problems, retain a direct line of communication with Russian government is a good news."",""person_key"":""ray-mcgovern"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
53PJFyf4ovw,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,5,full_session,,,"Prof. Zhang Weiwei —Unite and Prosper NOT Divide and Ruin",,,,"Prof. Zhang Weiwei —Unite and Prosper NOT Divide and Ruin",0,"[{""speaker_raw"":""Prof. Zhang Weiwei, professor of international relations at Fudan-University, China, speaking in Berlin at a conference of the Schiller Institute on July 12th, 2025, highlighted China's remarkable accomplishments in energy self-sufficiency, carbon reduction, and greening the desert. He criticized the geopolitical mindset in Europe that is preventing them from joining hands with China in creating the harmonious development of all nations."",""person_key"":""zhang-weiwei"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
eth7wIYEBb4,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,5,full_session,,,"The Beauty of the Diversity of Cultures & Role of Young People in Shaping the Earth’s Next 50 Years",,,,"The Beauty of the Diversity of Cultures & Role of Young People in Shaping the Earth’s Next 50 Years",0,"[{""speaker_raw"":""Harley Schlanger, Vice President of the Schiller Institute, USA"",""person_key"":""harley-schlanger"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Maurizio Abbate, President of the National Institute for Cultural Activities (ENAC), Italy"",""person_key"":""maurizio-abbate"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Helena Chang, Columnist, China\/Austria"",""person_key"":""helena-chang"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Anastasia Battle, Co-Initiator, International Peace Coalition, Editor-in-Chief, Leonore Magazine"",""person_key"":""anastasia-battle"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Carolina Dominguez, Schiller Institute, Mexico"",""person_key"":""carolina-dominguez"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Kynan Thistlethwaite, Schiller Institute, USA"",""person_key"":""kynan-thistlethwaite"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Ashley Tran, Schiller Institute, USA"",""person_key"":""ashley-tran"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Chérine Sultan, Institut Schiller, France"",""person_key"":""cherine-sultan"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Daniel Burke, Schiller Institute, USA"",""person_key"":""daniel-burke"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
THWTp_W75c0,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,294,2245,"Helga Zepp-LaRouche",helga-zepp-larouche,,"(Germany), Founder and Chair of the Schiller Institute",,1,,,wp-era-b,0,0,,,
THWTp_W75c0,1,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,2246,3269,"Prof. Zhang Weiwei",zhang-weiwei,,"(China), Fudan University",,1,,,wp-era-b,0,0,,,
THWTp_W75c0,2,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,3270,4105,"Dr. Naledi Pandor",naledi-pandor,,"(South Africa), former Minister of International Relations and Cooperation of the Republic of South Africa",,1,,,wp-era-b,0,0,,,
THWTp_W75c0,3,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,4106,4907,"Hans-Christof von Sponeck",hans-christof-von-sponeck,,"(Germany), former UN Humanitarian Coordinator in Iraq",,1,,,wp-era-b,0,0,,,
THWTp_W75c0,4,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,4908,5823,"Prof. Dmitri Trenin",dmitri-trenin,,"(Russia), Academic Director of the Institute for Military World Economy and Strategy at the Higher School of Economics University in Moscow",,1,,,wp-era-b,0,0,,,
THWTp_W75c0,5,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,5824,6253,"Daqi Fan",daqi-fan,,"(China), Vice President of the Academy of Contemporary China and World Studies (ACCWS)",,1,,,wp-era-b,0,0,,,
THWTp_W75c0,6,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,6254,7076,"Ray McGovern",ray-mcgovern,,"(USA), former senior CIA analyst, co-founder of the Veteran Intelligence Professionals for Sanity (VIPS)",,1,,,wp-era-b,0,0,,,
THWTp_W75c0,7,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,7077,9530,"Prof. PLO Lumumba",plo-lumumba,,"(Kenya), former Director and Executive Director of the Kenya School of Law",,1,,,wp-era-b,0,0,,,
THWTp_W75c0,8,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,9531,11363,"Abbey Makoe",abbey-makoe,,"(South Africa), Founder &amp; Editor of the Global South Media Network",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,741,2794,"Jacques Cheminade",jacques-cheminade,,"(France), former presidential candidate, President of Solidarity and Progress, A New Beginning to Prevent the Extinction of Humanity",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,1,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,2795,3447,"Elisabeth Murray",elisabeth-murray,,"(USA), former Deputy National Intelligence Officer",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,2,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,3448,4425,"Ali Rastbeen",ali-rastbeen,,"(France), President of the Académie de Géopolitique, Paris",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,3,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,4426,5511,"Donald Ramotar",donald-ramotar,,"(Guyana), former President of Guyana",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,4,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,5512,6239,"Diane Sare",diane-sare,,"(USA), President of the LaRouche Organization (TLO), former independent",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,5,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,6240,7130,"Dr. Jérôme Ravenet",jerome-ravenet,,"(France), Professor of Philosophy, Sinologist",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,6,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,7131,8216,"Achim Bonatz",achim-bonatz,,"(Germany), OKV",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,7,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,8217,8938,"Cornelia Pretorius",cornelia-pretorius,,"(Germany), Mothers Against War Berlin-Brandenburg",,1,,,wp-era-b,0,0,,,
